Frame,X,Y,dX,dY,Magnitude
0,797,109,0,-1,1.0
1,798,113,1,4,4.123105625617661
2,804,108,6,-5,7.810249675906654
3,803,110,-1,2,2.23606797749979
4,805,115,2,5,5.385164807134504
5,804,118,-1,3,3.1622776601683795
6,805,122,1,4,4.123105625617661
7,806,125,1,3,3.1622776601683795
8,807,128,1,3,3.1622776601683795
9,808,132,1,4,4.123105625617661
10,808,135,0,3,3.0
11,808,138,0,3,3.0
12,810,141,2,3,3.605551275463989
13,812,144,2,3,3.605551275463989
14,815,147,3,3,4.242640687119285
15,816,150,1,3,3.1622776601683795
16,816,154,0,4,4.0
17,816,158,0,4,4.0
18,817,161,1,3,3.1622776601683795
19,819,165,2,4,4.47213595499958
20,819,168,0,3,3.0
21,819,172,0,4,4.0
22,820,175,1,3,3.1622776601683795
23,820,178,0,3,3.0
24,820,182,0,4,4.0
25,820,185,0,3,3.0
26,821,188,1,3,3.1622776601683795
27,821,192,0,4,4.0
28,821,196,0,4,4.0
29,821,199,0,3,3.0
30,821,201,0,2,2.0
31,821,205,0,4,4.0
32,821,209,0,4,4.0
33,821,212,0,3,3.0
34,820,216,-1,4,4.123105625617661
35,819,220,-1,4,4.123105625617661
36,819,223,0,3,3.0
37,819,227,0,4,4.0
38,818,230,-1,3,3.1622776601683795
39,817,234,-1,4,4.123105625617661
40,816,237,-1,3,3.1622776601683795
41,816,241,0,4,4.0
42,815,244,-1,3,3.1622776601683795
43,814,248,-1,4,4.123105625617661
44,814,251,0,3,3.0
45,813,255,-1,4,4.123105625617661
46,812,258,-1,3,3.1622776601683795
47,812,262,0,4,4.0
48,811,266,-1,4,4.123105625617661
49,810,269,-1,3,3.1622776601683795
50,810,273,0,4,4.0
51,809,276,-1,3,3.1622776601683795
52,808,280,-1,4,4.123105625617661
53,808,283,0,3,3.0
54,808,287,0,4,4.0
55,808,290,0,3,3.0
56,807,293,-1,3,3.1622776601683795
57,807,297,0,4,4.0
58,807,300,0,3,3.0
59,807,304,0,4,4.0
60,807,307,0,3,3.0
61,807,311,0,4,4.0
62,808,314,1,3,3.1622776601683795
63,808,318,0,4,4.0
64,808,321,0,3,3.0
65,809,324,1,3,3.1622776601683795
66,809,328,0,4,4.0
67,810,331,1,3,3.1622776601683795
68,810,335,0,4,4.0
69,811,338,1,3,3.1622776601683795
70,812,341,1,3,3.1622776601683795
71,812,344,0,3,3.0
72,813,348,1,4,4.123105625617661
73,814,351,1,3,3.1622776601683795
74,815,355,1,4,4.123105625617661
75,815,358,0,3,3.0
76,816,362,1,4,4.123105625617661
77,817,365,1,3,3.1622776601683795
78,818,368,1,3,3.1622776601683795
79,819,371,1,3,3.1622776601683795
80,820,375,1,4,4.123105625617661
81,821,378,1,3,3.1622776601683795
82,821,381,0,3,3.0
83,822,385,1,4,4.123105625617661
84,822,388,0,3,3.0
85,823,391,1,3,3.1622776601683795
86,823,394,0,3,3.0
87,823,397,0,3,3.0
88,824,401,1,4,4.123105625617661
89,824,404,0,3,3.0
90,824,408,0,4,4.0
91,824,412,0,4,4.0
92,824,414,0,2,2.0
93,823,418,-1,4,4.123105625617661
94,823,421,0,3,3.0
95,823,424,0,3,3.0
96,823,429,0,5,5.0
97,823,431,0,2,2.0
98,822,434,-1,3,3.1622776601683795
99,821,438,-1,4,4.123105625617661
100,821,441,0,3,3.0
101,820,445,-1,4,4.123105625617661
102,819,448,-1,3,3.1622776601683795
103,819,452,0,4,4.0
104,818,455,-1,3,3.1622776601683795
105,818,459,0,4,4.0
106,817,462,-1,3,3.1622776601683795
107,816,466,-1,4,4.123105625617661
108,816,470,0,4,4.0
109,815,473,-1,3,3.1622776601683795
110,815,477,0,4,4.0
111,814,480,-1,3,3.1622776601683795
112,814,484,0,4,4.0
113,814,487,0,3,3.0
114,813,491,-1,4,4.123105625617661
115,813,494,0,3,3.0
116,813,498,0,4,4.0
117,813,501,0,3,3.0
118,813,505,0,4,4.0
119,813,508,0,3,3.0
120,814,511,1,3,3.1622776601683795
121,814,515,0,4,4.0
122,814,518,0,3,3.0
123,815,522,1,4,4.123105625617661
124,815,525,0,3,3.0
125,815,528,0,3,3.0
126,816,532,1,4,4.123105625617661
127,817,535,1,3,3.1622776601683795
128,817,539,0,4,4.0
129,818,542,1,3,3.1622776601683795
130,819,545,1,3,3.1622776601683795
131,820,548,1,3,3.1622776601683795
132,821,551,1,3,3.1622776601683795
133,822,555,1,4,4.123105625617661
134,823,558,1,3,3.1622776601683795
135,826,562,3,4,5.0
136,827,565,1,3,3.1622776601683795
137,827,568,0,3,3.0
138,827,572,0,4,4.0
139,826,575,-1,3,3.1622776601683795
140,826,579,0,4,4.0
141,826,583,0,4,4.0
142,827,586,1,3,3.1622776601683795
143,827,589,0,3,3.0
144,828,592,1,3,3.1622776601683795
145,828,595,0,3,3.0
146,828,598,0,3,3.0
147,829,602,1,4,4.123105625617661
148,829,605,0,3,3.0
149,829,608,0,3,3.0
150,829,612,0,4,4.0
151,829,615,0,3,3.0
152,828,618,-1,3,3.1622776601683795
153,827,621,-1,3,3.1622776601683795
154,827,625,0,4,4.0
155,827,628,0,3,3.0
156,827,631,0,3,3.0
157,827,634,0,3,3.0
158,826,637,-1,3,3.1622776601683795
159,831,637,5,0,5.0
160,830,639,-1,2,2.23606797749979
161,832,645,2,6,6.324555320336759
162,831,648,-1,3,3.1622776601683795
163,832,653,1,5,5.0990195135927845
164,832,659,0,6,6.0
165,832,661,0,2,2.0
166,828,667,-4,6,7.211102550927978
167,828,670,0,3,3.0
168,827,674,-1,4,4.123105625617661
169,826,677,-1,3,3.1622776601683795
170,826,681,0,4,4.0
171,825,685,-1,4,4.123105625617661
172,825,688,0,3,3.0
173,825,691,0,3,3.0
174,824,695,-1,4,4.123105625617661
175,824,698,0,3,3.0
176,824,701,0,3,3.0
177,824,705,0,4,4.0
178,824,708,0,3,3.0
179,824,711,0,3,3.0
180,823,715,-1,4,4.123105625617661
181,824,718,1,3,3.1622776601683795
182,823,721,-1,3,3.1622776601683795
183,824,725,1,4,4.123105625617661
