Frame,X,Y,dX,dY,Magnitude
0,816,91,2,-1,2.23606797749979
1,815,95,-1,4,4.123105625617661
2,814,97,-1,2,2.23606797749979
3,814,98,0,1,1.0
4,815,101,1,3,3.1622776601683795
5,814,102,-1,1,1.4142135623730951
6,814,105,0,3,3.0
7,814,106,0,1,1.0
8,815,108,1,2,2.23606797749979
9,817,110,2,2,2.8284271247461903
10,817,111,0,1,1.0
11,817,113,0,2,2.0
12,817,115,0,2,2.0
13,817,117,0,2,2.0
14,817,119,0,2,2.0
15,818,121,1,2,2.23606797749979
16,818,122,0,1,1.0
17,819,124,1,2,2.23606797749979
18,818,126,-1,2,2.23606797749979
19,816,129,-2,3,3.605551275463989
20,818,130,2,1,2.23606797749979
21,819,132,1,2,2.23606797749979
22,819,134,0,2,2.0
23,819,135,0,1,1.0
24,819,137,0,2,2.0
25,820,139,1,2,2.23606797749979
26,819,141,-1,2,2.23606797749979
27,820,145,1,4,4.123105625617661
28,820,146,0,1,1.0
29,820,148,0,2,2.0
30,819,150,-1,2,2.23606797749979
31,819,152,0,2,2.0
32,820,153,1,1,1.4142135623730951
33,819,155,-1,2,2.23606797749979
34,820,157,1,2,2.23606797749979
35,820,159,0,2,2.0
36,819,161,-1,2,2.23606797749979
37,821,162,2,1,2.23606797749979
38,820,164,-1,2,2.23606797749979
39,820,166,0,2,2.0
40,820,168,0,2,2.0
41,820,170,0,2,2.0
42,820,171,0,1,1.0
43,820,174,0,3,3.0
44,819,176,-1,2,2.23606797749979
45,819,177,0,1,1.0
46,819,179,0,2,2.0
47,819,181,0,2,2.0
48,820,183,1,2,2.23606797749979
49,819,185,-1,2,2.23606797749979
50,820,187,1,2,2.23606797749979
51,819,189,-1,2,2.23606797749979
52,819,191,0,2,2.0
53,819,193,0,2,2.0
54,819,195,0,2,2.0
55,820,197,1,2,2.23606797749979
56,819,198,-1,1,1.4142135623730951
57,819,200,0,2,2.0
58,820,202,1,2,2.23606797749979
59,819,204,-1,2,2.23606797749979
60,819,206,0,2,2.0
61,820,208,1,2,2.23606797749979
62,820,210,0,2,2.0
63,819,212,-1,2,2.23606797749979
64,820,214,1,2,2.23606797749979
65,820,216,0,2,2.0
66,820,218,0,2,2.0
67,819,220,-1,2,2.23606797749979
68,820,222,1,2,2.23606797749979
69,820,224,0,2,2.0
70,821,225,1,1,1.4142135623730951
71,820,227,-1,2,2.23606797749979
