Frame,X,Y,dX,dY,Magnitude
0,700,160,-2,-1,2.23606797749979
1,699,160,-1,0,1.0
2,699,159,0,-1,1.0
3,700,161,1,2,2.23606797749979
4,697,160,-3,-1,3.1622776601683795
5,696,163,-0.2,3,3.0066592756745814
6,695,166,-0.128,3,3.0027294250398255
7,694,169,-0.09312000000000002,3,3.001444874456301
8,693,171,-0.09684480000000001,2.0,2.002343355992433
9,692,173,-0.140718592,2.0,2.0049443189611185
10,691,175,-0.026347335680000007,2.6,2.600133493130196
11,690,177,-0.019401229107200005,2.52,2.520074682958993
12,699,172,9,-5,10.295630140987
13,700,175,1,3,3.1622776601683795
14,700,177,0,2,2.0
15,701,180,1,3,3.1622776601683795
16,700,181,-1,1,1.4142135623730951
17,696,180,-4,-1,4.123105625617661
18,703,188,7,8,10.63014581273465
19,702,190,-1,2,2.23606797749979
20,702,193,0,3,3.0
21,702,195,0,2,2.0
22,701,198,-1,3,3.1622776601683795
23,701,201,0,3,3.0
24,702,204,1,3,3.1622776601683795
25,703,206,1,2,2.23606797749979
26,703,208,0,2,2.0
27,705,209,2,1,2.23606797749979
28,706,214,1,5,5.0990195135927845
29,703,218,-3,4,5.0
30,703,220,0,2,2.0
31,707,222,4,2,4.47213595499958
32,702,225,-5,3,5.830951894845301
33,702,228,0,3,3.0
34,702,231,0,3,3.0
35,702,233,0,2,2.0
36,704,237,2,4,4.47213595499958
37,698,238,-6,1,6.082762530298219
38,706,239,8,1,8.06225774829855
39,703,247,-3,8,8.54400374531753
40,702,248,-1,1,1.4142135623730951
41,705,251,3,3,4.242640687119285
42,706,253,1,2,2.23606797749979
43,703,255,-3,2,3.605551275463989
44,706,259,3,4,5.0
45,706,261,0,2,2.0
46,703,264,-3,3,4.242640687119285
47,707,268,4,4,5.656854249492381
48,705,269,-2,1,2.23606797749979
49,709,274,4,5,6.4031242374328485
50,706,276,-3,2,3.605551275463989
51,704,279,-2,3,3.605551275463989
52,704,280,0,1,1.0
53,703,283,-1,3,3.1622776601683795
54,703,286,0,3,3.0
55,707,289,4,3,5.0
56,703,292,-4,3,5.0
57,706,294,3,2,3.605551275463989
58,706,296,0,2,2.0
59,706,298,0,2,2.0
60,707,301,1,3,3.1622776601683795
61,707,304,0,3,3.0
62,705,307,-2,3,3.605551275463989
63,705,309,0,2,2.0
64,704,311,-1,2,2.23606797749979
65,705,314,1,3,3.1622776601683795
66,705,317,0,3,3.0
67,704,320,-1,3,3.1622776601683795
68,706,322,2,2,2.8284271247461903
69,706,324,0,2,2.0
70,707,327,1,3,3.1622776601683795
71,707,330,0,3,3.0
72,706,334,-1,4,4.123105625617661
73,707,337,1,3,3.1622776601683795
74,705,339,-2,2,2.8284271247461903
75,705,341,0,2,2.0
76,705,345,0,4,4.0
77,705,348,0,3,3.0
78,706,350,1,2,2.23606797749979
79,706,353,0,3,3.0
80,706,353,0,0,0.0
81,716,358,10,5,11.180339887498949
82,716,361,0,3,3.0
83,716,363,0,2,2.0
84,706,366,-10,3,10.44030650891055
85,706,369,0,3,3.0
86,706,371,0,2,2.0
87,707,373,1,2,2.23606797749979
88,708,377,1,4,4.123105625617661
89,707,380,-1,3,3.1622776601683795
90,709,381,2,1,2.23606797749979
91,710,383,1,2,2.23606797749979
92,717,388,7,5,8.602325267042627
93,717,393,0,5,5.0
94,708,394,-9,1,9.055385138137417
95,710,395,2,1,2.23606797749979
96,708,398,-2,3,3.605551275463989
97,706,402,-2,4,4.47213595499958
98,706,406,0,4,4.0
99,709,406,3,0,3.0
100,708,410,-1,4,4.123105625617661
101,711,410,3,0,3.0
102,711,412,0,2,2.0
103,708,419,-3,7,7.615773105863909
104,713,421,5,2,5.385164807134504
105,717,424,4,3,5.0
106,711,426,-6,2,6.324555320336759
107,711,426,0,0,0.0
108,707,434,-4,8,8.94427190999916
109,712,435,5,1,5.0990195135927845
110,712,437,0,2,2.0
111,712,439,0,2,2.0
112,710,440,-2,1,2.23606797749979
113,713,445,3,5,5.830951894845301
114,713,448,0,3,3.0
115,711,450,-2,2,2.8284271247461903
116,711,453,0,3,3.0
117,710,455,-1,2,2.23606797749979
118,708,459,-2,4,4.47213595499958
119,708,461,0,2,2.0
120,712,465,4,4,5.656854249492381
121,709,467,-3,2,3.605551275463989
122,709,469,0,2,2.0
123,710,471,1,2,2.23606797749979
124,710,471,0,0,0.0
125,709,479,-1,8,8.06225774829855
126,708,481,-1,2,2.23606797749979
127,710,482,2,1,2.23606797749979
128,708,485,-2,3,3.605551275463989
129,706,490,-2,5,5.385164807134504
130,707,491,1,1,1.4142135623730951
131,710,494,3,3,4.242640687119285
132,712,497,2,3,3.605551275463989
133,714,499,2,2,2.8284271247461903
134,711,500,-3,1,3.1622776601683795
135,709,505,-2,5,5.385164807134504
136,713,507,4,2,4.47213595499958
137,712,510,-1,3,3.1622776601683795
138,715,513,3,3,4.242640687119285
139,715,515,0,2,2.0
140,718,519,3,4,5.0
141,717,521,-1,2,2.23606797749979
142,718,523,1,2,2.23606797749979
143,718,526,0,3,3.0
144,716,528,-2,2,2.8284271247461903
145,718,532,2,4,4.47213595499958
146,718,534,0,2,2.0
147,718,537,0,3,3.0
148,717,539,-1,2,2.23606797749979
149,718,542,1,3,3.1622776601683795
150,719,545,1,3,3.1622776601683795
151,719,548,0,3,3.0
152,719,550,0,2,2.0
153,719,552,0,2,2.0
154,719,554,0,2,2.0
155,719,559,0,5,5.0
156,720,561,1,2,2.23606797749979
157,719,563,-1,2,2.23606797749979
158,720,566,1,3,3.1622776601683795
159,720,569,0,3,3.0
160,720,572,0,3,3.0
161,720,575,0,3,3.0
162,720,578,0,3,3.0
163,720,580,0,2,2.0
164,720,583,0,3,3.0
165,720,586,0,3,3.0
166,720,588,0,2,2.0
167,720,591,0,3,3.0
168,720,593,0,2,2.0
169,720,596,0,3,3.0
170,721,599,1,3,3.1622776601683795
171,720,602,-1,3,3.1622776601683795
172,720,604,0,2,2.0
173,720,607,0,3,3.0
174,720,610,0,3,3.0
175,720,613,0,3,3.0
176,720,615,0,2,2.0
177,720,618,0,3,3.0
178,720,621,0,3,3.0
179,720,623,0,2,2.0
180,716,626,-4,3,5.0
181,719,628,3,2,3.605551275463989
182,719,631,0,3,3.0
183,719,634,0,3,3.0
184,715,637,-4,3,5.0
185,719,639,4,2,4.47213595499958
186,719,642,0,3,3.0
187,718,644,-1,2,2.23606797749979
188,720,648,2,4,4.47213595499958
