Frame,X,Y,dX,dY,Magnitude
0,657,142,0,2,2.0
1,657,143,0,1,1.0
2,658,146,1,3,3.1622776601683795
3,658,144,0,-2,2.0
4,658,147,0,3,3.0
5,657,148,-1,1,1.4142135623730951
6,657,147,0,-1,1.0
7,657,150,0,3,3.0
8,657,150,0,0,0.0
9,656,151,-1,1,1.4142135623730951
10,658,157,2,6,6.324555320336759
11,656,154,-2,-3,3.605551275463989
12,657,161,1,7,7.0710678118654755
13,657,163,0,2,2.0
14,657,165,0,2,2.0
15,657,167,0,2,2.0
16,657,169,0,2,2.0
17,657,171,0,2,2.0
18,657,173,0,2,2.0
19,657,175,0,2,2.0
20,656,177,-1,2,2.23606797749979
21,657,179,1,2,2.23606797749979
22,657,180,0,1,1.0
23,657,182,0,2,2.0
24,657,184,0,2,2.0
25,657,186,0,2,2.0
26,657,188,0,2,2.0
27,657,190,0,2,2.0
28,656,192,-1,2,2.23606797749979
29,657,194,1,2,2.23606797749979
30,657,196,0,2,2.0
31,656,198,-1,2,2.23606797749979
32,656,200,0,2,2.0
33,656,202,0,2,2.0
34,656,204,0,2,2.0
35,656,206,0,2,2.0
36,656,207,0,1,1.0
37,656,209,0,2,2.0
38,656,211,0,2,2.0
39,656,213,0,2,2.0
40,656,215,0,2,2.0
41,657,217,1,2,2.23606797749979
42,656,219,-1,2,2.23606797749979
43,656,221,0,2,2.0
44,656,223,0,2,2.0
45,656,225,0,2,2.0
46,656,227,0,2,2.0
47,656,229,0,2,2.0
48,656,231,0,2,2.0
49,656,233,0,2,2.0
50,656,234,0,1,1.0
51,656,236,0,2,2.0
52,656,238,0,2,2.0
53,656,240,0,2,2.0
54,656,242,0,2,2.0
55,657,244,1,2,2.23606797749979
56,656,246,-1,2,2.23606797749979
57,656,248,0,2,2.0
58,656,250,0,2,2.0
59,656,252,0,2,2.0
60,656,254,0,2,2.0
61,656,256,0,2,2.0
62,656,258,0,2,2.0
63,656,260,0,2,2.0
64,656,261,0,1,1.0
65,656,263,0,2,2.0
66,656,265,0,2,2.0
67,656,267,0,2,2.0
68,656,269,0,2,2.0
69,656,271,0,2,2.0
70,656,273,0,2,2.0
71,656,275,0,2,2.0
72,656,277,0,2,2.0
73,657,279,1,2,2.23606797749979
74,656,280,-1,1,1.4142135623730951
75,657,283,1,3,3.1622776601683795
76,656,284,-1,1,1.4142135623730951
77,656,286,0,2,2.0
78,657,289,1,3,3.1622776601683795
79,657,290,0,1,1.0
80,656,292,-1,2,2.23606797749979
81,657,294,1,2,2.23606797749979
82,657,296,0,2,2.0
83,657,298,0,2,2.0
84,657,300,0,2,2.0
85,657,302,0,2,2.0
86,658,304,1,2,2.23606797749979
87,657,306,-1,2,2.23606797749979
88,657,308,0,2,2.0
89,657,309,0,1,1.0
90,657,311,0,2,2.0
91,657,314,0,3,3.0
92,657,315,0,1,1.0
