Frame,X,Y,dX,dY,Magnitude
0,498,137,-1,0,1.0
1,498,139,0,2,2.0
2,498,141,0,2,2.0
3,499,144,1,3,3.1622776601683795
4,500,146,1,2,2.23606797749979
5,499,147,-1,1,1.4142135623730951
6,498,148,-1,1,1.4142135623730951
7,498,149,0,1,1.0
8,498,152,0,3,3.0
9,499,157,1,5,5.0990195135927845
10,499,160,0,3,3.0
11,500,161,1,1,1.4142135623730951
12,500,164,0,3,3.0
13,499,167,-1,3,3.1622776601683795
14,500,170,1,3,3.1622776601683795
15,501,172,1,2,2.23606797749979
16,501,175,0,3,3.0
17,502,177,1,2,2.23606797749979
18,504,180,2,3,3.605551275463989
19,505,182,1,2,2.23606797749979
20,505,184,0,2,2.0
21,505,186,0,2,2.0
22,502,189,-3,3,4.242640687119285
23,502,191,0,2,2.0
24,502,194,0,3,3.0
25,503,197,1,3,3.1622776601683795
26,504,200,1,3,3.1622776601683795
27,502,202,-2,2,2.8284271247461903
28,505,204,3,2,3.605551275463989
29,504,206,-1,2,2.23606797749979
30,503,209,-1,3,3.1622776601683795
31,502,211,-1,2,2.23606797749979
32,502,214,0,3,3.0
33,503,217,1,3,3.1622776601683795
34,504,219,1,2,2.23606797749979
35,504,222,0,3,3.0
36,503,224,-1,2,2.23606797749979
37,503,226,0,2,2.0
38,502,229,-1,3,3.1622776601683795
39,502,231,0,2,2.0
40,502,233,0,2,2.0
41,502,236,0,3,3.0
42,502,238,0,2,2.0
43,502,241,0,3,3.0
44,502,243,0,2,2.0
45,502,246,0,3,3.0
46,502,248,0,2,2.0
47,502,251,0,3,3.0
48,501,254,-1,3,3.1622776601683795
49,501,256,0,2,2.0
50,500,258,-1,2,2.23606797749979
51,501,261,1,3,3.1622776601683795
52,500,264,-1,3,3.1622776601683795
53,501,266,1,2,2.23606797749979
54,501,269,0,3,3.0
55,501,271,0,2,2.0
56,500,273,-1,2,2.23606797749979
57,500,276,0,3,3.0
58,500,278,0,2,2.0
59,500,280,0,2,2.0
60,501,283,1,3,3.1622776601683795
61,500,285,-1,2,2.23606797749979
62,500,287,0,2,2.0
63,501,290,1,3,3.1622776601683795
64,500,293,-1,3,3.1622776601683795
65,500,295,0,2,2.0
66,500,297,0,2,2.0
67,500,299,0,2,2.0
68,500,302,0,3,3.0
69,500,304,0,2,2.0
70,499,307,-1,3,3.1622776601683795
71,500,309,1,2,2.23606797749979
72,501,311,1,2,2.23606797749979
73,500,314,-1,3,3.1622776601683795
74,501,316,1,2,2.23606797749979
75,501,319,0,3,3.0
76,501,322,0,3,3.0
77,501,324,0,2,2.0
78,501,326,0,2,2.0
79,501,329,0,3,3.0
80,501,331,0,2,2.0
81,501,334,0,3,3.0
82,501,336,0,2,2.0
83,501,339,0,3,3.0
84,501,341,0,2,2.0
85,501,344,0,3,3.0
86,501,346,0,2,2.0
87,501,348,0,2,2.0
88,502,351,1,3,3.1622776601683795
89,501,353,-1,2,2.23606797749979
90,501,356,0,3,3.0
91,501,358,0,2,2.0
92,502,361,1,3,3.1622776601683795
93,501,363,-1,2,2.23606797749979
94,501,366,0,3,3.0
95,501,368,0,2,2.0
96,501,371,0,3,3.0
97,502,373,1,2,2.23606797749979
98,501,375,-1,2,2.23606797749979
99,501,378,0,3,3.0
100,502,380,1,2,2.23606797749979
101,501,383,-1,3,3.1622776601683795
102,501,385,0,2,2.0
103,501,388,0,3,3.0
104,501,391,0,3,3.0
105,501,393,0,2,2.0
106,501,396,0,3,3.0
107,500,398,-1,2,2.23606797749979
108,501,401,1,3,3.1622776601683795
109,501,403,0,2,2.0
110,501,405,0,2,2.0
111,502,407,1,2,2.23606797749979
112,501,410,-1,3,3.1622776601683795
113,501,412,0,2,2.0
114,501,415,0,3,3.0
115,501,417,0,2,2.0
116,501,420,0,3,3.0
117,501,422,0,2,2.0
118,501,424,0,2,2.0
119,501,427,0,3,3.0
120,501,429,0,2,2.0
121,501,432,0,3,3.0
122,502,434,1,2,2.23606797749979
123,501,436,-1,2,2.23606797749979
124,501,439,0,3,3.0
125,501,441,0,2,2.0
126,502,443,1,2,2.23606797749979
127,501,446,-1,3,3.1622776601683795
128,501,448,0,2,2.0
129,501,451,0,3,3.0
130,501,453,0,2,2.0
131,502,456,1,3,3.1622776601683795
132,502,458,0,2,2.0
133,502,461,0,3,3.0
134,502,463,0,2,2.0
135,502,465,0,2,2.0
136,502,468,0,3,3.0
137,502,470,0,2,2.0
138,502,473,0,3,3.0
139,502,475,0,2,2.0
140,502,478,0,3,3.0
141,501,480,-1,2,2.23606797749979
142,502,482,1,2,2.23606797749979
143,502,485,0,3,3.0
144,502,488,0,3,3.0
145,502,490,0,2,2.0
146,502,492,0,2,2.0
147,502,494,0,2,2.0
148,502,497,0,3,3.0
149,502,499,0,2,2.0
150,502,502,0,3,3.0
151,502,504,0,2,2.0
152,501,507,-1,3,3.1622776601683795
153,502,509,1,2,2.23606797749979
154,502,512,0,3,3.0
155,502,514,0,2,2.0
156,501,517,-1,3,3.1622776601683795
157,502,519,1,2,2.23606797749979
158,502,522,0,3,3.0
159,502,524,0,2,2.0
160,502,527,0,3,3.0
161,501,529,-1,2,2.23606797749979
162,501,532,0,3,3.0
163,501,534,0,2,2.0
