Frame,X,Y,dX,dY,Magnitude
0,543,193,0,-1,1.0
1,543,195,0,2,2.0
2,543,197,0,2,2.0
3,543,199,0,2,2.0
4,543,201,0,2,2.0
5,544,203,1,2,2.23606797749979
6,545,204,1,1,1.4142135623730951
7,545,206,0,2,2.0
8,545,207,0,1,1.0
9,544,210,-1,3,3.1622776601683795
10,544,211,0,1,1.0
11,544,213,0,2,2.0
12,543,215,-1,2,2.23606797749979
13,544,216,1,1,1.4142135623730951
14,545,218,1,2,2.23606797749979
15,544,220,-1,2,2.23606797749979
16,543,222,-1,2,2.23606797749979
17,545,225,2,3,3.605551275463989
18,543,226,-2,1,2.23606797749979
19,543,228,0,2,2.0
20,542,229,-1,1,1.4142135623730951
21,543,231,1,2,2.23606797749979
22,544,234,1,3,3.1622776601683795
23,543,235,-1,1,1.4142135623730951
24,544,237,1,2,2.23606797749979
25,544,239,0,2,2.0
26,544,240,0,1,1.0
27,544,242,0,2,2.0
28,545,244,1,2,2.23606797749979
29,543,245,-2,1,2.23606797749979
30,544,247,1,2,2.23606797749979
31,543,249,-1,2,2.23606797749979
32,544,251,1,2,2.23606797749979
33,543,253,-1,2,2.23606797749979
34,545,255,2,2,2.8284271247461903
35,543,256,-2,1,2.23606797749979
36,543,258,0,2,2.0
37,543,261,0,3,3.0
38,543,263,0,2,2.0
39,543,264,0,1,1.0
40,543,266,0,2,2.0
41,544,268,1,2,2.23606797749979
42,543,269,-1,1,1.4142135623730951
43,543,271,0,2,2.0
44,543,273,0,2,2.0
45,545,275,2,2,2.8284271247461903
46,544,276,-1,1,1.4142135623730951
47,542,279,-2,3,3.605551275463989
48,542,280,0,1,1.0
49,543,282,1,2,2.23606797749979
50,543,284,0,2,2.0
51,542,286,-1,2,2.23606797749979
52,542,287,0,1,1.0
53,543,289,1,2,2.23606797749979
54,543,291,0,2,2.0
55,543,293,0,2,2.0
56,543,295,0,2,2.0
57,543,297,0,2,2.0
58,542,298,-1,1,1.4142135623730951
59,542,300,0,2,2.0
60,542,302,0,2,2.0
61,542,304,0,2,2.0
62,543,306,1,2,2.23606797749979
63,543,307,0,1,1.0
64,543,309,0,2,2.0
65,542,311,-1,2,2.23606797749979
66,545,313,3,2,3.605551275463989
67,542,314,-3,1,3.1622776601683795
68,542,316,0,2,2.0
69,542,318,0,2,2.0
70,542,320,0,2,2.0
71,543,322,1,2,2.23606797749979
72,542,323,-1,1,1.4142135623730951
73,542,325,0,2,2.0
74,542,327,0,2,2.0
75,542,329,0,2,2.0
76,542,332,0.0,3,3.0
77,545,333,3,1,3.1622776601683795
78,543,335,-2,2,2.8284271247461903
79,543,336,0,1,1.0
80,543,338,0,2,2.0
81,542,340,-1,2,2.23606797749979
82,542,341,0,1,1.0
83,543,343,1,2,2.23606797749979
84,542,345,-1,2,2.23606797749979
85,544,348,2,3,3.605551275463989
86,542,349,-2,1,2.23606797749979
87,542,351,0,2,2.0
88,543,353,1,2,2.23606797749979
89,542,354,-1,1,1.4142135623730951
90,542,356,0,2,2.0
91,542,358,0,2,2.0
92,542,360,0,2,2.0
93,542,362,0,2,2.0
94,542,363,0,1,1.0
95,542,365,0,2,2.0
96,542,367,0,2,2.0
97,542,369,0,2,2.0
98,543,371,1,2,2.23606797749979
99,542,372,-1,1,1.4142135623730951
100,543,374,1,2,2.23606797749979
101,543,376,0,2,2.0
102,543,377,0,1,1.0
103,542,380,-1,3,3.1622776601683795
104,542,382,0,2,2.0
105,542,383,0,1,1.0
106,543,385,1,2,2.23606797749979
107,542,387,-1,2,2.23606797749979
108,542,388,0,1,1.0
109,542,390,0,2,2.0
110,542,392,0,2,2.0
111,543,394,1,2,2.23606797749979
112,544,396,1,2,2.23606797749979
113,542,398,-2,2,2.8284271247461903
114,542,399,0,1,1.0
115,544,401,2,2,2.8284271247461903
116,542,403,-2,2,2.8284271247461903
117,542,405,0,2,2.0
118,542,407,0,2,2.0
119,542,408,0,1,1.0
120,542,410,0,2,2.0
121,543,412,1,2,2.23606797749979
122,542,414,-1,2,2.23606797749979
123,541,416,-1,2,2.23606797749979
124,543,418,2,2,2.8284271247461903
125,543,420,0,2,2.0
126,542,421,-1,1,1.4142135623730951
127,542,423,0,2,2.0
128,542,425,0,2,2.0
129,542,427,0,2,2.0
130,543,428,1,1,1.4142135623730951
131,543,430,0,2,2.0
132,542,432,-1,2,2.23606797749979
133,542,434,0,2,2.0
134,542,435,0,1,1.0
135,542,437,0,2,2.0
136,543,439,1,2,2.23606797749979
137,542,441,-1,2,2.23606797749979
138,542,443,0,2,2.0
139,542,445,0,2,2.0
140,543,446,1,1,1.4142135623730951
141,542,448,-1,2,2.23606797749979
142,542,450,0,2,2.0
143,543,452,1,2,2.23606797749979
144,543,453,0,1,1.0
145,542,455,-1,2,2.23606797749979
146,542,457,0,2,2.0
147,542,459,0,2,2.0
148,543,461,1,2,2.23606797749979
149,545,463,2,2,2.8284271247461903
150,544,465,-1,2,2.23606797749979
151,543,466,-1,1,1.4142135623730951
152,542,468,-1,2,2.23606797749979
153,543,470,1,2,2.23606797749979
154,542,471,-1,1,1.4142135623730951
155,543,473,1,2,2.23606797749979
156,542,475,-1,2,2.23606797749979
157,542,477,0,2,2.0
158,543,478,1,1,1.4142135623730951
159,544,481,1,3,3.1622776601683795
160,544,483,0,2,2.0
161,542,484,-2,1,2.23606797749979
162,542,486,0,2,2.0
163,542,488,0,2,2.0
164,543,489,1,1,1.4142135623730951
165,542,491,-1,2,2.23606797749979
166,544,494,2,3,3.605551275463989
167,543,495,-1,1,1.4142135623730951
168,545,497,2,2,2.8284271247461903
169,544,499,-1,2,2.23606797749979
170,544,501,0,2,2.0
171,544,503,0,2,2.0
172,544,504,0,1,1.0
173,543,506,-1,2,2.23606797749979
174,543,507,0,1,1.0
175,543,509,0,2,2.0
176,543,511,0,2,2.0
177,543,513,0,2,2.0
178,543,515,0,2,2.0
179,544,517,1,2,2.23606797749979
180,544,519,0,2,2.0
181,543,520,-1,1,1.4142135623730951
182,543,522,0,2,2.0
183,544,525,1,3,3.1622776601683795
184,544,526,0,1,1.0
185,543,528,-1,2,2.23606797749979
186,543,530,0,2,2.0
187,544,531,1,1,1.4142135623730951
188,544,533,0,2,2.0
189,542,535,-2,2,2.8284271247461903
190,543,537,1,2,2.23606797749979
191,543,539,0,2,2.0
192,543,541,0,2,2.0
193,544,542,1,1,1.4142135623730951
194,544,545,0,3,3.0
195,544,545,0,0,0.0
196,543,547,-1,2,2.23606797749979
197,543,549,0,2,2.0
198,543,551,0,2,2.0
199,544,553,1,2,2.23606797749979
200,543,555,-1,2,2.23606797749979
201,542,556,-1,1,1.4142135623730951
202,544,559,2,3,3.605551275463989
203,542,560,-2,1,2.23606797749979
204,545,562,3,2,3.605551275463989
205,544,563,-1,1,1.4142135623730951
206,543,565,-1,2,2.23606797749979
207,542,567,-1,2,2.23606797749979
208,544,570,2,3,3.605551275463989
209,543,571,-1,1,1.4142135623730951
210,543,572,0,1,1.0
211,543,575,0,3,3.0
212,543,577,0,2,2.0
213,544,579,1,2,2.23606797749979
214,545,580,1,1,1.4142135623730951
215,543,581,-2,1,2.23606797749979
216,543,583,0,2,2.0
217,544,586,1,3,3.1622776601683795
218,544,587,0,1,1.0
219,543,589,-1,2,2.23606797749979
220,545,591,2,2,2.8284271247461903
221,544,593,-1,2,2.23606797749979
222,543,594,-1,1,1.4142135623730951
223,545,596,2,2,2.8284271247461903
224,544,597,-1,1,1.4142135623730951
225,545,600,1,3,3.1622776601683795
226,544,602,-1,2,2.23606797749979
227,545,604,1,2,2.23606797749979
228,545,605,0,1,1.0
229,544,607,-1,2,2.23606797749979
230,544,609,0,2,2.0
231,543,611,-1,2,2.23606797749979
232,544,612,1,1,1.4142135623730951
233,544,614,0,2,2.0
234,545,616,1,2,2.23606797749979
235,544,618,-1,2,2.23606797749979
236,544,620,0,2,2.0
237,545,621,1,1,1.4142135623730951
238,545,623,0,2,2.0
239,545,625,0,2,2.0
240,545,627,0,2,2.0
241,545,629,0,2,2.0
242,543,630,-2,1,2.23606797749979
243,545,632,2,2,2.8284271247461903
244,544,634,-1,2,2.23606797749979
245,545,636,1,2,2.23606797749979
246,544,638,-1,2,2.23606797749979
247,544,640,0,2,2.0
248,544,641,0,1,1.0
249,546,643,2,2,2.8284271247461903
250,546,645,0,2,2.0
251,545,647,-1,2,2.23606797749979
252,545,649,0,2,2.0
253,545,650,0,1,1.0
254,546,652,1,2,2.23606797749979
255,544,654,-2,2,2.8284271247461903
256,544,656,0,2,2.0
257,544,658,0,2,2.0
258,545,659,1,1,1.4142135623730951
259,545,662,0.0,3,3.0
260,544,664,-0.04000000000000001,2.0,2.000399960007998
261,546,665,2,1,2.23606797749979
262,546,668,0.1184,3,3.0023355175596214
263,543,669,-3,1,3.1622776601683795
264,542,671,-0.03686400000000001,2.0,2.0003397097733173
265,544,672,2,1,2.23606797749979
266,545,674,1,2,2.23606797749979
267,545,676,0,2,2.0
268,544,679,-0.0014745600000000004,3,3.0000003623878437
269,545,680,1,1,1.4142135623730951
270,545,680,0,0,0.0
271,545,683,0,3,3.0
272,545,685,0,2,2.0
273,545,688,0.0399410176,3,3.00026586903343
274,545,691,0.041597640703999995,3,3.0002883800915106
275,545,693,0.00326154633216,2.2,2.2000024176542348
276,545,695,0.0033920081854464006,2.6399999999999997,2.640002179112648
277,545,697,0.0035276885128642564,2.568,2.5680024230101974
278,544,696,-1,-1,1.4142135623730951
279,543,699,-0.03792884465062118,3,3.0002397566288814
280,546,699,3,0,3.0
281,546,701,0,2,2.0
282,546,704,0.07862395375448973,3,3.001030110829278
283,546,704,0,0,0.0
284,545,706,-1,2,2.23606797749979
285,545,709,0.0831449581501796,3,3.0011519595091807
286,546,710,1,1,1.4142135623730951
287,546,713,0.006470756476186775,3,3.0000069784401124
288,546,716,0.003584628585054657,3,3.0000021415929177
289,544,715,-2,-1,2.23606797749979
290,544,716,0,1,1.0
291,544,717,0,1,1.0
292,543,719,-1,2,2.23606797749979
293,543,720,0,1,1.0
294,544,722,1,2,2.23606797749979
295,544,724,0,2,2.0
296,544,726,0,2,2.0
297,544,727,0,1,1.0
298,544,729,0,2,2.0
299,544,731,0,2,2.0
300,544,733,0,2,2.0
301,544,735,0,2,2.0
302,544,737,0,2,2.0
303,544,739,0,2,2.0
304,544,740,0,1,1.0
305,544,742,0,2,2.0
306,544,743,0,1,1.0
307,544,745,0,2,2.0
308,544,747,0,2,2.0
309,545,748,1,1,1.4142135623730951
310,544,750,-1,2,2.23606797749979
311,544,753,0,3,3.0
312,544,754,0,1,1.0
313,544,756,0,2,2.0
314,544,758,0,2,2.0
315,544,759,0,1,1.0
316,544,760,0,1,1.0
317,544,763,0.0,3,3.0
