Frame,X,Y,dX,dY,Magnitude
0,583,93,-1,0,1.0
1,586,98,3,5,5.830951894845301
2,588,103,2,5,5.385164807134504
3,590,108,2,5,5.385164807134504
4,591,112,1,4,4.123105625617661
5,593,116,2,4,4.47213595499958
6,594,121,1,5,5.0990195135927845
7,595,125,1,4,4.123105625617661
8,596,130,1,5,5.0990195135927845
9,597,135,1,5,5.0990195135927845
10,597,139,0,4,4.0
11,597,145,0,6,6.0
12,597,150,0,5,5.0
13,598,155,1,5,5.0990195135927845
14,598,161,0,6,6.0
15,595,165,-3,4,5.0
16,594,170,-1,5,5.0990195135927845
17,593,175,-1,5,5.0990195135927845
18,591,179,-2,4,4.47213595499958
19,589,183,-2,4,4.47213595499958
20,588,188,-1,5,5.0990195135927845
21,588,192,0,4,4.0
22,587,196,-1,4,4.123105625617661
23,586,201,-1,5,5.0990195135927845
24,586,206,0,5,5.0
25,585,211,-1,5,5.0990195135927845
26,586,216,1,5,5.0990195135927845
27,585,221,-1,5,5.0990195135927845
28,586,227,1,6,6.082762530298219
29,586,233,0,6,6.0
30,586,238,0,5,5.0
31,587,244,1,6,6.082762530298219
32,587,250,0,6,6.0
33,588,255,1,5,5.0990195135927845
34,588,260,0,5,5.0
35,588,265,0,5,5.0
36,588,271,0,6,6.0
37,588,275,0,4,4.0
38,588,280,0,5,5.0
39,587,285,-1,5,5.0990195135927845
40,587,290,0,5,5.0
41,587,295,0,5,5.0
42,586,301,-1,6,6.082762530298219
43,584,306,-2,5,5.385164807134504
44,584,312,0,6,6.0
45,585,317,1,5,5.0990195135927845
46,585,322,0,5,5.0
47,585,328,0,6,6.0
48,585,333,0,5,5.0
49,585,338,0,5,5.0
50,587,345,2,7,7.280109889280518
51,588,346,1,1,1.4142135623730951
52,588,350,0,4,4.0
53,589,355,1,5,5.0990195135927845
54,590,360,1,5,5.0990195135927845
55,591,364,1,4,4.123105625617661
56,592,369,1,5,5.0990195135927845
57,593,374,1,5,5.0990195135927845
58,594,379,1,5,5.0990195135927845
59,595,383,1,4,4.123105625617661
60,596,388,1,5,5.0990195135927845
61,596,392,0,4,4.0
62,596,397,0,5,5.0
63,596,402,0,5,5.0
64,596,406,0,4,4.0
65,596,412,0,6,6.0
66,596,417,0,5,5.0
67,596,424,0,7,7.0
68,595,427,-1,3,3.1622776601683795
69,595,432,0,5,5.0
70,594,437,-1,5,5.0990195135927845
71,594,442,0,5,5.0
72,593,445,-1,3,3.1622776601683795
73,593,450,0,5,5.0
74,592,454,-1,4,4.123105625617661
75,592,458,0,4,4.0
76,593,462,1,4,4.123105625617661
77,592,467,-1,5,5.0990195135927845
78,593,472,1,5,5.0990195135927845
79,593,477,0,5,5.0
80,594,482,1,5,5.0990195135927845
81,594,487,0,5,5.0
82,595,492,1,5,5.0990195135927845
83,596,498,1,6,6.082762530298219
84,597,504,1,6,6.082762530298219
85,598,510,1,6,6.082762530298219
86,600,515,2,5,5.385164807134504
87,601,520,1,5,5.0990195135927845
88,602,526,1,6,6.082762530298219
89,603,531,1,5,5.0990195135927845
90,605,535,2,4,4.47213595499958
91,606,540,1,5,5.0990195135927845
92,606,545,0,5,5.0
93,607,550,1,5,5.0990195135927845
94,608,555,1,5,5.0990195135927845
95,608,560,0,5,5.0
96,608,565,0,5,5.0
97,608,571,0,6,6.0
98,608,575,0,4,4.0
99,606,581,-2,6,6.324555320336759
100,606,587,0,6,6.0
101,606,592,0,5,5.0
102,605,597,-1,5,5.0990195135927845
103,605,601,0,4,4.0
104,604,606,-1,5,5.0990195135927845
105,604,610,0,4,4.0
106,603,613,-1,3,3.1622776601683795
107,602,617,-1,4,4.123105625617661
108,605,623,3,6,6.708203932499369
109,605,628,0,5,5.0
110,606,632,1,4,4.123105625617661
111,606,637,0,5,5.0
112,606,641,0,4,4.0
113,606,646,0,5,5.0
114,606,651,0,5,5.0
115,606,655,0,4,4.0
116,605,659,-1,4,4.123105625617661
117,605,664,0,5,5.0
118,603,668,-2,4,4.47213595499958
119,603,672,0,4,4.0
120,604,678,1,6,6.082762530298219
121,604,684,0,6,6.0
122,603,689,-1,5,5.0990195135927845
123,604,694,1,5,5.0990195135927845
124,603,699,-1,5,5.0990195135927845
125,604,704,1,5,5.0990195135927845
126,604,708,0,4,4.0
127,605,712,1,4,4.123105625617661
128,605,716,0,4,4.0
129,605,721,0,5,5.0
130,606,724,1,3,3.1622776601683795
131,609,729,3,5,5.830951894845301
132,609,735,0,6,6.0
133,610,740,1,5,5.0990195135927845
134,610,745,0,5,5.0
135,611,750,1,5,5.0990195135927845
136,612,755,1,5,5.0990195135927845
137,613,760,1,5,5.0990195135927845
138,614,766,1,6,6.082762530298219
139,615,771,1,5,5.0990195135927845
140,616,776,1,5,5.0990195135927845
141,618,782,2,6,6.324555320336759
142,620,787,2,5,5.385164807134504
143,621,791,1,4,4.123105625617661
144,624,797,3,6,6.708203932499369
145,625,802,1,5,5.0990195135927845
146,627,807,2,5,5.385164807134504
147,629,811,2,4,4.47213595499958
148,630,816,1,5,5.0990195135927845
