Frame,X,Y,dX,dY,Magnitude
0,448,87,0,0,0.0
1,446,92,-2,5,5.385164807134504
2,446,98,0,6,6.0
3,444,104,-2,6,6.324555320336759
4,443,109,-1,5,5.0990195135927845
5,443,115,0,6,6.0
6,442,121,-1,6,6.082762530298219
7,441,127,-1,6,6.082762530298219
8,440,132,-1,5,5.0990195135927845
9,440,138,0,6,6.0
10,440,145,0,7,7.0
11,440,151,0,6,6.0
12,441,157,1,6,6.082762530298219
13,441,163,0,6,6.0
14,443,169,2,6,6.324555320336759
15,444,175,1,6,6.082762530298219
16,446,181,2,6,6.324555320336759
17,449,186,3,5,5.830951894845301
18,450,192,1,6,6.082762530298219
19,452,198,2,6,6.324555320336759
20,454,204,2,6,6.324555320336759
21,456,210,2,6,6.324555320336759
22,457,216,1,6,6.082762530298219
23,458,223,1,7,7.0710678118654755
24,459,230,1,7,7.0710678118654755
25,461,237,2,7,7.280109889280518
26,462,244,1,7,7.0710678118654755
27,464,252,2,8,8.246211251235321
28,467,259,3,7,7.615773105863909
29,470,267,3,8,8.54400374531753
30,475,275,5,8,9.433981132056603
31,477,280,2,5,5.385164807134504
32,480,286,3,6,6.708203932499369
33,484,292,4,6,7.211102550927978
34,487,298,3,6,6.708203932499369
35,489,304,2,6,6.324555320336759
36,492,310,3,6,6.708203932499369
37,494,315,2,5,5.385164807134504
38,496,322,2,7,7.280109889280518
39,497,328,1,6,6.082762530298219
40,498,334,1,6,6.082762530298219
41,499,341,1,7,7.0710678118654755
42,500,347,1,6,6.082762530298219
43,500,353,0,6,6.0
44,500,359,0,6,6.0
45,500,366,0,7,7.0
46,499,372,-1,6,6.082762530298219
47,499,378,0,6,6.0
48,499,384,0,6,6.0
49,498,390,-1,6,6.082762530298219
50,498,396,0,6,6.0
51,498,402,0,6,6.0
52,497,408,-1,6,6.082762530298219
53,497,415,0,7,7.0
54,497,421,0,6,6.0
55,497,428,0,7,7.0
56,497,435,0,7,7.0
57,497,442,0,7,7.0
58,497,449,0,7,7.0
59,497,456,0,7,7.0
60,497,465,0,9,9.0
61,497,472,0,7,7.0
62,496,480,-1,8,8.06225774829855
63,496,488,0,8,8.0
64,495,495,-1,7,7.0710678118654755
65,494,502,-1,7,7.0710678118654755
66,494,509,0,7,7.0
67,493,515,-1,6,6.082762530298219
68,492,522,-1,7,7.0710678118654755
69,491,528,-1,6,6.082762530298219
70,490,534,-1,6,6.082762530298219
71,489,540,-1,6,6.082762530298219
72,488,546,-1,6,6.082762530298219
73,487,552,-1,6,6.082762530298219
74,487,559,0,7,7.0
75,486,565,-1,6,6.082762530298219
76,486,571,0,6,6.0
77,486,577,0,6,6.0
78,486,584,0,7,7.0
79,486,590,0,6,6.0
80,487,596,1,6,6.082762530298219
81,487,603,0,7,7.0
82,488,610,1,7,7.0710678118654755
83,488,617,0,7,7.0
84,489,624,1,7,7.0710678118654755
85,491,631,2,7,7.280109889280518
86,492,638,1,7,7.0710678118654755
87,495,644,3,6,6.708203932499369
88,497,650,2,6,6.324555320336759
89,499,655,2,5,5.385164807134504
90,501,661,2,6,6.324555320336759
91,504,666,3,5,5.830951894845301
92,506,672,2,6,6.324555320336759
93,509,678,3,6,6.708203932499369
94,512,684,3,6,6.708203932499369
95,514,690,2,6,6.324555320336759
96,517,697,3,7,7.615773105863909
97,520,703,3,6,6.708203932499369
98,522,709,2,6,6.324555320336759
99,524,716,2,7,7.280109889280518
100,525,722,1,6,6.082762530298219
101,526,728,1,6,6.082762530298219
102,526,735,0,7,7.0
103,525,741,-1,6,6.082762530298219
104,524,747,-1,6,6.082762530298219
105,522,751,-2,4,4.47213595499958
106,518,754,-4,3,5.0
107,517,759,-0.32000000000000006,5.2,5.20983684965278
108,516,763,-0.33280000000000004,4.84,4.851428226821458
109,513,782,-3,19,19.235384061671343
110,511,785,-2,3,3.605551275463989
111,507,788,-4,3,5.0
112,505,793,-2,5,5.385164807134504
113,502,798,-3,5,5.830951894845301
114,500,803,-2,5,5.385164807134504
115,498,809,-2,6,6.324555320336759
