Frame,X,Y,dX,dY,Magnitude
0,358,136,-1,4,4.123105625617661
1,359,134,1,-2,2.23606797749979
2,359,138,0,4,4.0
3,359,138,0,0,0.0
4,359,139,0,1,1.0
5,359,141,0,2,2.0
6,359,143,0,2,2.0
7,360,145,1,2,2.23606797749979
8,359,145,-1,0,1.0
9,359,148,0,3,3.0
10,360,150,1,2,2.23606797749979
11,360,153,0,3,3.0
12,360,154,0,1,1.0
13,360,156,0,2,2.0
14,360,158,0,2,2.0
15,361,160,1,2,2.23606797749979
16,361,162,0,2,2.0
17,361,163,0,1,1.0
18,361,165,0,2,2.0
19,361,167,0,2,2.0
20,361,169,0,2,2.0
21,361,171,0,2,2.0
22,361,172,0,1,1.0
23,362,174,1,2,2.23606797749979
24,362,176,0,2,2.0
25,362,178,0,2,2.0
26,362,180,0,2,2.0
27,362,182,0,2,2.0
28,362,184,0,2,2.0
29,362,185,0,1,1.0
30,362,187,0,2,2.0
31,362,189,0,2,2.0
32,363,191,1,2,2.23606797749979
33,363,193,0,2,2.0
34,363,195,0,2,2.0
35,363,197,0,2,2.0
36,363,199,0,2,2.0
37,364,201,1,2,2.23606797749979
38,364,202,0,1,1.0
39,364,204,0,2,2.0
40,364,206,0,2,2.0
41,364,208,0,2,2.0
42,364,210,0,2,2.0
43,364,212,0,2,2.0
44,364,213,0,1,1.0
45,365,215,1,2,2.23606797749979
46,365,217,0,2,2.0
47,365,219,0,2,2.0
48,365,221,0,2,2.0
49,365,223,0,2,2.0
50,365,225,0,2,2.0
51,366,226,1,1,1.4142135623730951
52,366,228,0,2,2.0
53,366,230,0,2,2.0
54,366,232,0,2,2.0
55,366,234,0,2,2.0
56,366,236,0,2,2.0
57,366,238,0,2,2.0
58,367,240,1,2,2.23606797749979
59,367,241,0,1,1.0
60,367,243,0,2,2.0
61,367,245,0,2,2.0
62,367,247,0,2,2.0
63,367,249,0,2,2.0
64,368,251,1,2,2.23606797749979
65,368,253,0,2,2.0
66,368,255,0,2,2.0
67,368,257,0,2,2.0
68,368,258,0,1,1.0
69,368,260,0,2,2.0
70,368,262,0,2,2.0
71,369,264,1,2,2.23606797749979
72,369,266,0,2,2.0
73,369,267,0,1,1.0
74,368,270,-1,3,3.1622776601683795
75,369,271,1,1,1.4142135623730951
76,369,273,0,2,2.0
77,370,275,1,2,2.23606797749979
78,369,277,-1,2,2.23606797749979
79,370,279,1,2,2.23606797749979
80,370,281,0,2,2.0
81,370,283,0,2,2.0
82,370,284,0,1,1.0
83,370,286,0,2,2.0
84,370,288,0,2,2.0
85,371,290,1,2,2.23606797749979
86,371,291,0,1,1.0
87,371,294,0,3,3.0
88,371,296,0,2,2.0
89,371,297,0,1,1.0
90,371,299,0,2,2.0
91,372,301,1,2,2.23606797749979
92,371,303,-1,2,2.23606797749979
93,372,305,1,2,2.23606797749979
94,372,307,0,2,2.0
95,372,308,0,1,1.0
96,372,311,0,3,3.0
97,373,312,1,1,1.4142135623730951
98,373,314,0,2,2.0
99,373,316,0,2,2.0
100,373,318,0,2,2.0
101,373,320,0,2,2.0
102,373,322,0,2,2.0
103,373,323,0,1,1.0
104,373,325,0,2,2.0
105,373,327,0,2,2.0
106,374,329,1,2,2.23606797749979
107,374,331,0,2,2.0
108,374,332,0,1,1.0
109,374,335,0,3,3.0
110,374,336,0,1,1.0
111,374,338,0,2,2.0
112,375,340,1,2,2.23606797749979
113,375,342,0,2,2.0
114,375,344,0,2,2.0
115,375,346,0,2,2.0
116,375,348,0,2,2.0
117,375,349,0,1,1.0
118,376,351,1,2,2.23606797749979
119,375,353,-1,2,2.23606797749979
120,375,355,0,2,2.0
121,376,357,1,2,2.23606797749979
122,376,359,0,2,2.0
123,376,360,0,1,1.0
124,377,362,1,2,2.23606797749979
125,377,364,0,2,2.0
126,376,366,-1,2,2.23606797749979
127,377,368,1,2,2.23606797749979
128,377,369,0,1,1.0
129,377,371,0,2,2.0
130,377,373,0,2,2.0
131,377,375,0,2,2.0
132,377,377,0,2,2.0
133,377,379,0,2,2.0
134,378,380,1,1,1.4142135623730951
135,378,382,0,2,2.0
136,378,384,0,2,2.0
137,378,386,0,2,2.0
138,378,388,0,2,2.0
139,378,390,0,2,2.0
140,378,392,0,2,2.0
141,378,393,0,1,1.0
142,378,395,0,2,2.0
143,378,397,0,2,2.0
144,379,399,1,2,2.23606797749979
145,379,401,0,2,2.0
146,379,402,0,1,1.0
147,380,404,1,2,2.23606797749979
148,379,406,-1,2,2.23606797749979
149,379,408,0,2,2.0
150,379,410,0,2,2.0
151,379,411,0,1,1.0
152,380,413,1,2,2.23606797749979
153,380,415,0,2,2.0
154,380,417,0,2,2.0
155,380,419,0,2,2.0
156,381,420,1,1,1.4142135623730951
157,381,422,0,2,2.0
158,381,424,0,2,2.0
159,381,426,0,2,2.0
160,381,428,0,2,2.0
161,381,429,0,1,1.0
162,381,431,0,2,2.0
163,381,433,0,2,2.0
164,381,435,0,2,2.0
165,381,437,0,2,2.0
166,382,439,1,2,2.23606797749979
167,382,440,0,1,1.0
168,382,442,0,2,2.0
169,382,444,0,2,2.0
170,382,446,0,2,2.0
171,383,448,1,2,2.23606797749979
172,383,450,0,2,2.0
173,383,451,0,1,1.0
174,383,453,0,2,2.0
175,383,455,0,2,2.0
176,383,457,0,2,2.0
177,383,459,0,2,2.0
178,383,461,0,2,2.0
179,384,462,1,1,1.4142135623730951
180,384,464,0,2,2.0
181,384,466,0,2,2.0
182,384,468,0,2,2.0
183,384,470,0,2,2.0
184,384,471,0,1,1.0
185,385,473,1,2,2.23606797749979
186,384,475,-1,2,2.23606797749979
187,384,477,0,2,2.0
188,385,478,1,1,1.4142135623730951
189,385,480,0,2,2.0
190,385,482,0,2,2.0
191,385,484,0,2,2.0
192,386,486,1,2,2.23606797749979
193,386,488,0,2,2.0
194,386,490,0,2,2.0
195,386,491,0,1,1.0
196,386,493,0,2,2.0
197,386,495,0,2,2.0
198,386,497,0,2,2.0
199,387,499,1,2,2.23606797749979
200,387,500,0,1,1.0
201,387,503,0,3,3.0
202,387,504,0,1,1.0
203,387,506,0,2,2.0
204,388,508,1,2,2.23606797749979
205,388,510,0,2,2.0
206,388,511,0,1,1.0
207,387,513,-1,2,2.23606797749979
208,388,515,1,2,2.23606797749979
209,388,517,0,2,2.0
210,388,519,0,2,2.0
211,389,521,1,2,2.23606797749979
212,389,522,0,1,1.0
213,388,524,-1,2,2.23606797749979
214,389,526,1,2,2.23606797749979
215,389,528,0,2,2.0
216,389,530,0,2,2.0
217,389,532,0,2,2.0
218,389,533,0,1,1.0
219,390,535,1,2,2.23606797749979
220,390,537,0,2,2.0
221,389,539,-1,2,2.23606797749979
222,390,541,1,2,2.23606797749979
223,390,543,0,2,2.0
224,390,545,0,2,2.0
225,390,546,0,1,1.0
226,391,548,1,2,2.23606797749979
227,391,550,0,2,2.0
228,391,552,0,2,2.0
229,391,554,0,2,2.0
230,391,556,0,2,2.0
231,391,557,0,1,1.0
232,391,559,0,2,2.0
233,391,561,0,2,2.0
234,392,563,1,2,2.23606797749979
235,392,564,0,1,1.0
236,392,566,0,2,2.0
237,392,568,0,2,2.0
238,392,570,0,2,2.0
239,392,572,0,2,2.0
240,393,574,1,2,2.23606797749979
241,393,575,0,1,1.0
242,393,578,0,3,3.0
243,393,579,0,1,1.0
244,393,581,0,2,2.0
245,393,583,0,2,2.0
246,394,585,1,2,2.23606797749979
247,393,587,-1,2,2.23606797749979
248,393,588,0,1,1.0
249,394,590,1,2,2.23606797749979
250,394,592,0,2,2.0
251,395,594,1,2,2.23606797749979
252,394,596,-1,2,2.23606797749979
253,394,598,0,2,2.0
254,394,599,0,1,1.0
255,395,601,1,2,2.23606797749979
256,395,603,0,2,2.0
257,395,605,0,2,2.0
258,395,607,0,2,2.0
259,395,609,0,2,2.0
260,396,610,1,1,1.4142135623730951
261,396,612,0,2,2.0
262,396,614,0,2,2.0
263,396,616,0,2,2.0
264,396,618,0,2,2.0
265,397,620,1,2,2.23606797749979
266,397,621,0,1,1.0
267,397,623,0,2,2.0
268,397,625,0,2,2.0
269,397,627,0,2,2.0
270,398,629,1,2,2.23606797749979
271,398,631,0,2,2.0
272,397,632,-1,1,1.4142135623730951
273,398,634,1,2,2.23606797749979
274,398,636,0,2,2.0
275,398,638,0,2,2.0
276,398,640,0,2,2.0
277,398,641,0,1,1.0
278,398,643,0,2,2.0
279,399,645,1,2,2.23606797749979
280,399,647,0,2,2.0
281,399,649,0,2,2.0
282,399,650,0,1,1.0
283,399,652,0,2,2.0
284,400,654,1,2,2.23606797749979
285,399,656,-1,2,2.23606797749979
286,399,658,0,2,2.0
287,400,660,1,2,2.23606797749979
288,400,662,0,2,2.0
289,400,664,0,2,2.0
290,400,665,0,1,1.0
291,400,667,0,2,2.0
292,400,669,0,2,2.0
293,401,671,1,2,2.23606797749979
294,401,673,0,2,2.0
295,401,674,0,1,1.0
296,401,676,0,2,2.0
297,401,678,0,2,2.0
298,401,680,0,2,2.0
299,402,682,1,2,2.23606797749979
300,402,683,0,1,1.0
301,402,685,0,2,2.0
302,402,687,0,2,2.0
303,402,689,0,2,2.0
304,402,691,0,2,2.0
305,402,692,0,1,1.0
306,402,695,0,3,3.0
307,402,696,0,1,1.0
308,402,697,0,1,1.0
309,402,700,0,3,3.0
310,403,703,1,3,3.1622776601683795
311,403,704,0,1,1.0
312,404,706,1,2,2.23606797749979
313,404,708,0,2,2.0
314,404,709,0,1,1.0
315,405,711,1,2,2.23606797749979
316,405,714,0.08000000000000002,3,3.001066477104431
317,405,716,0.08320000000000001,2.0,2.001729811937665
318,403,718,-2,2,2.8284271247461903
319,403,719,0,1,1.0
320,403,721,0,2,2.0
321,403,722,0,1,1.0
322,404,724,1,2,2.23606797749979
323,404,726,0,2,2.0
324,405,728,1,2,2.23606797749979
325,406,729,1,1,1.4142135623730951
326,405,731,-1,2,2.23606797749979
327,406,733,1,2,2.23606797749979
328,406,735,0,2,2.0
329,406,736,0,1,1.0
330,406,737,0,1,1.0
331,408,740,2,3,3.605551275463989
332,407,742,-1,2,2.23606797749979
333,407,743,0,1,1.0
334,407,746,0.04000000000000001,3,3.000266654815868
335,407,748,0.041600000000000005,2.0,2.0004325932157774
336,407,750,0.043264000000000004,2.2,2.200425361991631
337,403,751,-4,1,4.123105625617661
338,407,752,4,1,4.123105625617661
339,407,754,0,2,2.0
340,408,756,1,2,2.23606797749979
341,407,757,-1,1,1.4142135623730951
342,407,759,0,2,2.0
343,408,761,1,2,2.23606797749979
344,408,763,0,2,2.0
345,408,765,0,2,2.0
346,408,766,0,1,1.0
347,408,768,0,2,2.0
348,408,770,0,2,2.0
349,409,772,1,2,2.23606797749979
350,409,773,0,1,1.0
351,409,776,0,3,3.0
352,410,777,1,1,1.4142135623730951
353,409,779,-1,2,2.23606797749979
354,410,781,1,2,2.23606797749979
355,410,782,0,1,1.0
356,409,784,-1,2,2.23606797749979
357,409,786,0,2,2.0
358,410,787,1,1,1.4142135623730951
359,410,789,0,2,2.0
360,410,790,0,1,1.0
361,410,792,0,2,2.0
362,410,795,0.04000000000000001,3,3.000266654815868
363,410,798,0.041600000000000005,3,3.0002884128030094
