Frame,X,Y,dX,dY,Magnitude
0,728,140,0,1,1.0
1,727,144,-1,4,4.123105625617661
2,722,149,-5,5,7.0710678118654755
3,720,154,-2,5,5.385164807134504
4,720,159,0,5,5.0
5,719,163,-1,4,4.123105625617661
6,719,168,0,5,5.0
7,719,173,0,5,5.0
8,720,178,1,5,5.0990195135927845
9,721,183,1,5,5.0990195135927845
10,724,187,3,4,5.0
11,725,193,1,6,6.082762530298219
12,727,197,2,4,4.47213595499958
13,732,200,5,3,5.830951894845301
14,732,204,0.48,4.4,4.4261043819593775
15,732,208,0.45920000000000005,4.279999999999999,4.304563234522173
16,728,219,-4,11,11.704699910719626
17,730,223,2,4,4.47213595499958
18,735,221,5,-2,5.385164807134504
19,730,227,-5,6,7.810249675906654
20,731,233,1,6,6.082762530298219
21,731,236,0,3,3.0
22,731,241,0,5,5.0
23,728,246,-3,5,5.830951894845301
24,732,251,4,5,6.4031242374328485
25,732,255,0.08000000000000002,4.8,4.800666620376799
26,732,259,0.04320000000000001,4.5600000000000005,4.560204626987697
27,732,263,0.044928,4.872,4.872207151300527
28,727,271,-5,8,9.433981132056603
29,722,276,-5,5,7.0710678118654755
30,722,280,0,4,4.0
31,720,285,-2,5,5.385164807134504
32,720,290,0,5,5.0
33,719,294,-1,4,4.123105625617661
34,719,298,0,4,4.0
35,718,303,-1,5,5.0990195135927845
36,718,308,0,5,5.0
37,719,313,1,5,5.0990195135927845
38,720,318,1,5,5.0990195135927845
39,722,323,2,5,5.385164807134504
40,729,327,7,4,8.06225774829855
41,730,332,1,5,5.0990195135927845
42,732,337,2,5,5.385164807134504
43,733,342,1,5,5.0990195135927845
44,733,347,0,5,5.0
45,729,353,-4,6,7.211102550927978
46,730,358,1,5,5.0990195135927845
47,730,362,0,4,4.0
48,731,366,1,4,4.123105625617661
49,730,371,-1,5,5.0990195135927845
50,730,376,0,5,5.0
51,730,380,0,4,4.0
52,728,384,-2,4,4.47213595499958
53,721,389,-7,5,8.602325267042627
54,720,394,-1,5,5.0990195135927845
55,719,398,-1,4,4.123105625617661
56,718,403,-1,5,5.0990195135927845
57,722,408,4,5,6.4031242374328485
58,722,413,0,5,5.0
59,721,418,-1,5,5.0990195135927845
60,720,423,-1,5,5.0990195135927845
61,720,427,0,4,4.0
62,719,431,-1,4,4.123105625617661
63,719,436,0,5,5.0
64,719,441,0,5,5.0
65,720,445,1,4,4.123105625617661
66,721,450,1,5,5.0990195135927845
67,724,455,3,5,5.830951894845301
68,727,459,3,4,5.0
69,729,464,2,5,5.385164807134504
70,730,469,1,5,5.0990195135927845
71,732,474,2,5,5.385164807134504
72,733,479,1,5,5.0990195135927845
73,733,483,0,4,4.0
74,733,489,0,6,6.0
75,733,493,0,4,4.0
76,733,498,0,5,5.0
77,734,503,1,5,5.0990195135927845
78,735,507,1,4,4.123105625617661
79,735,513,0,6,6.0
80,735,518,0,5,5.0
81,736,523,1,5,5.0990195135927845
82,735,528,-1,5,5.0990195135927845
83,733,533,-2,5,5.385164807134504
84,732,537,-1,4,4.123105625617661
85,730,541,-2,4,4.47213595499958
86,729,546,-1,5,5.0990195135927845
87,725,549,-4,3,5.0
88,723,553,-2,4,4.47213595499958
89,723,558,0,5,5.0
90,721,563,-2,5,5.385164807134504
91,722,567,1,4,4.123105625617661
92,722,572,0,5,5.0
93,722,577,0,5,5.0
94,723,581,1,4,4.123105625617661
95,726,585,3,4,5.0
96,729,590,3,5,5.830951894845301
97,730,595,1,5,5.0990195135927845
98,732,599,2,4,4.47213595499958
99,732,604,0,5,5.0
100,734,609,2,5,5.385164807134504
101,735,613,1,4,4.123105625617661
102,736,619,1,6,6.082762530298219
103,737,623,1,4,4.123105625617661
104,737,627,0,4,4.0
105,736,633,-1,6,6.082762530298219
106,735,637,-1,4,4.123105625617661
107,732,641,-3,4,5.0
108,732,648,0,7,7.0
109,732,652,0,4,4.0
110,732,657,0,5,5.0
111,731,661,-1,4,4.123105625617661
112,735,668,4,7,8.06225774829855
113,734,673,-1,5,5.0990195135927845
114,733,678,-1,5,5.0990195135927845
115,726,679,-7,1,7.0710678118654755
116,725,684,-1,5,5.0990195135927845
117,725,688,0,4,4.0
118,723,693,-2,5,5.385164807134504
119,723,698,0,5,5.0
120,723,702,0,4,4.0
121,722,706,-1,4,4.123105625617661
122,722,711,0,5,5.0
123,723,716,1,5,5.0990195135927845
124,725,721,2,5,5.385164807134504
125,723,726,-2,5,5.385164807134504
126,723,730,0.0,4.8,4.8
127,723,734,0.04000000000000001,4.96,4.96016128770023
128,723,738,0.041600000000000005,4.952,4.9521747303583705
129,723,742,0.0032640000000000004,4.942400000000001,4.942401077785575
130,722,746,-0.07660544000000001,4.93088,4.931475029627301
131,722,750,0.00033034239999999994,4.9170560000000005,4.917056011096691
132,722,754,0.0003435560959999999,4.9404672000000005,4.9404672119453075
133,734,769,12,15,19.209372712298546
134,734,772,0,3,3.0
135,734,776,0,4,4.0
136,733,780,-1,4,4.123105625617661
137,733,785,0,5,5.0
138,732,789,-1,4,4.123105625617661
139,731,793,-1,4,4.123105625617661
140,730,798,-1,5,5.0990195135927845
141,729,803,-1,5,5.0990195135927845
142,728,808,-1,5,5.0990195135927845
143,727,812,-1,4,4.123105625617661
144,726,814,-1,2,2.23606797749979
145,727,821,1,7,7.0710678118654755
146,726,824,-1,3,3.1622776601683795
147,725,828,-1,4,4.123105625617661
148,724,833,-1,5,5.0990195135927845
149,723,837,-1,4,4.123105625617661
150,724,842,1,5,5.0990195135927845
151,725,847,1,5,5.0990195135927845
152,731,851,6,4,7.211102550927978
153,732,854,1,3,3.1622776601683795
