Frame,X,Y,dX,dY,Magnitude
0,737,153,-2,0,2.0
1,739,154,2,1,2.23606797749979
2,739,159,0,5,5.0
3,739,164,0,5,5.0
4,739,167,0,3,3.0
5,740,173,1,6,6.082762530298219
6,739,178,-1,5,5.0990195135927845
7,732,183,-7,5,8.602325267042627
8,734,186,2,3,3.605551275463989
9,735,191,1,5,5.0990195135927845
10,737,198,2,7,7.280109889280518
11,734,200,-3,2,3.605551275463989
12,731,205,-3,5,5.830951894845301
13,730,210,-1,5,5.0990195135927845
14,729,214,-1,4,4.123105625617661
15,730,218,1,4,4.123105625617661
16,729,223,-1,5,5.0990195135927845
17,729,228,0,5,5.0
18,730,232,1,4,4.123105625617661
19,730,236,0,4,4.0
20,731,240,1,4,4.123105625617661
21,733,245,2,5,5.385164807134504
22,736,249,3,4,5.0
23,738,252,2,3,3.605551275463989
24,738,256,0,4,4.0
25,739,261,1,5,5.0990195135927845
26,738,267,-1,6,6.082762530298219
27,737,271,-1,4,4.123105625617661
28,739,273,2,2,2.8284271247461903
29,735,280,-4,7,8.06225774829855
30,735,284,0,4,4.0
31,736,287,1,3,3.1622776601683795
32,736,293,0,6,6.0
33,737,299,1,6,6.082762530298219
34,736,302,-1,3,3.1622776601683795
35,736,307,0,5,5.0
36,732,309,-4,2,4.47213595499958
37,732,315,0,6,6.0
38,729,319,-3,4,5.0
39,729,323,0,4,4.0
40,730,327,1,4,4.123105625617661
41,729,331,-1,4,4.123105625617661
42,730,336,1,5,5.0990195135927845
43,730,341,0,5,5.0
44,730,345,0,4,4.0
45,731,349,1,4,4.123105625617661
46,732,353,1,4,4.123105625617661
47,733,357,1,4,4.123105625617661
48,734,361,1,4,4.123105625617661
49,738,366,4,5,6.4031242374328485
50,738,371,0,5,5.0
51,739,374,1,3,3.1622776601683795
52,737,381,-2,7,7.280109889280518
53,737,385,0,4,4.0
54,736,387,-1,2,2.23606797749979
55,737,392,1,5,5.0990195135927845
56,735,397,-2,5,5.385164807134504
57,735,402,0,5,5.0
58,736,407,1,5,5.0990195135927845
59,735,410,-1,3,3.1622776601683795
60,736,415,1,5,5.0990195135927845
61,735,420,-1,5,5.0990195135927845
62,734,423,-1,3,3.1622776601683795
63,729,425,-5,2,5.385164807134504
64,731,432,2,7,7.280109889280518
65,731,436,0,4,4.0
66,731,440,0,4,4.0
67,731,444,0,4,4.0
68,731,449,0,5,5.0
69,731,453,0,4,4.0
70,732,457,1,4,4.123105625617661
71,733,461,1,4,4.123105625617661
72,734,466,1,5,5.0990195135927845
73,735,470,1,4,4.123105625617661
74,739,475,4,5,6.4031242374328485
75,739,479,0,4,4.0
76,737,483,-2,4,4.47213595499958
77,737,489,0,6,6.0
78,737,493,0,4,4.0
79,737,496,0,3,3.0
80,738,500,1,4,4.123105625617661
81,737,506,-1,6,6.082762530298219
82,736,511,-1,5,5.0990195135927845
83,735,515,-1,4,4.123105625617661
84,735,520,0,5,5.0
85,734,524,-1,4,4.123105625617661
86,738,529,4,5,6.4031242374328485
87,728,531,-10,2,10.198039027185569
88,730,534,2,3,3.605551275463989
89,732,540,2,6,6.324555320336759
90,732,544,0,4,4.0
91,731,549,-1,5,5.0990195135927845
92,731,553,0,4,4.0
93,732,557,1,4,4.123105625617661
94,732,561,0,4,4.0
95,731,566,-1,5,5.0990195135927845
96,732,570,1,4,4.123105625617661
97,736,573,4,3,5.0
98,739,578,3,5,5.830951894845301
99,739,583,0,5,5.0
100,739,587,0,4,4.0
101,741,592,2,5,5.385164807134504
102,742,596,1,4,4.123105625617661
103,742,601,0,5,5.0
104,738,604,-4,3,5.0
105,738,608,0,4,4.0
106,739,613,1,5,5.0990195135927845
107,739,617,0,4,4.0
108,737,624,-2,7,7.280109889280518
109,736,628,-1,4,4.123105625617661
110,736,632,0,4,4.0
111,735,637,-1,5,5.0990195135927845
112,736,639,1,2,2.23606797749979
113,732,642,-4,3,5.0
114,732,647,0,5,5.0
115,735,652,3,5,5.830951894845301
116,734,656,-1,4,4.123105625617661
117,733,661,-1,5,5.0990195135927845
118,733,665,0,4,4.0
119,734,670,1,5,5.0990195135927845
120,734,673,0,3,3.0
121,735,678,1,5,5.0990195135927845
122,735,683,0,5,5.0
123,737,688,2,5,5.385164807134504
124,740,691,3,3,4.242640687119285
125,740,696,0,5,5.0
126,738,702,-2,6,6.324555320336759
127,740,705,2,3,3.605551275463989
128,740,711,0,6,6.0
129,740,713,0,2,2.0
130,740,718,0,5,5.0
131,740,723,0,5,5.0
132,740,727,0,4,4.0
133,740,732,0,5,5.0
134,739,736,-1,4,4.123105625617661
135,738,740,-1,4,4.123105625617661
136,738,746,0,6,6.0
137,737,750,-1,4,4.123105625617661
138,735,752,-2,2,2.8284271247461903
139,735,757,0,5,5.0
140,735,761,0,4,4.0
141,736,767,1,6,6.082762530298219
142,736,768,0,1,1.0
143,736,779,0,11,11.0
144,736,783,0,4,4.0
145,737,786,1,3,3.1622776601683795
146,737,790,0,4,4.0
147,738,794,1,4,4.123105625617661
148,739,799,1,5,5.0990195135927845
149,740,803,1,4,4.123105625617661
150,741,807,1,4,4.123105625617661
151,742,811,1,4,4.123105625617661
152,743,814,1,3,3.1622776601683795
153,743,817,0,3,3.0
154,743,826,0,9,9.0
155,747,824,4,-2,4.47213595499958
156,748,828,1,4,4.123105625617661
157,749,832,1,4,4.123105625617661
158,749,837,0,5,5.0
159,749,842,0,5,5.0
160,749,846,0,4,4.0
161,744,849,-5,3,5.830951894845301
162,744,854,0,5,5.0
