Frame,X,Y,dX,dY,Magnitude
0,726,143,1,0,1.0
1,725,147,-1,4,4.123105625617661
2,726,151,1,4,4.123105625617661
3,726,154,0,3,3.0
4,727,157,1,3,3.1622776601683795
5,726,161,-1,4,4.123105625617661
6,726,165,0,4,4.0
7,727,168,1,3,3.1622776601683795
8,726,172,-1,4,4.123105625617661
9,727,176,1,4,4.123105625617661
10,727,179,0,3,3.0
11,727,183,0,4,4.0
12,727,186,0,3,3.0
13,727,190,0,4,4.0
14,727,193,0,3,3.0
15,728,197,1,4,4.123105625617661
16,728,201,0,4,4.0
17,728,204,0,3,3.0
18,728,208,0,4,4.0
19,728,211,0,3,3.0
20,728,215,0,4,4.0
21,729,219,1,4,4.123105625617661
22,729,222,0,3,3.0
23,729,226,0,4,4.0
24,729,229,0,3,3.0
25,729,233,0,4,4.0
26,729,237,0,4,4.0
27,729,241,0,4,4.0
28,729,244,0,3,3.0
29,730,248,1,4,4.123105625617661
30,730,251,0,3,3.0
31,729,255,-1,4,4.123105625617661
32,729,259,0,4,4.0
33,729,262,0,3,3.0
34,730,266,1,4,4.123105625617661
35,730,270,0,4,4.0
36,730,273,0,3,3.0
37,730,277,0,4,4.0
38,730,281,0,4,4.0
39,729,284,-1,3,3.1622776601683795
40,730,288,1,4,4.123105625617661
41,730,292,0,4,4.0
42,729,295,-1,3,3.1622776601683795
43,730,299,1,4,4.123105625617661
44,729,303,-1,4,4.123105625617661
45,730,306,1,3,3.1622776601683795
46,730,310,0,4,4.0
47,730,314,0,4,4.0
48,730,317,0,3,3.0
49,730,321,0,4,4.0
50,730,324,0,3,3.0
51,730,328,0,4,4.0
52,730,332,0,4,4.0
53,729,336,-1,4,4.123105625617661
54,730,339,1,3,3.1622776601683795
55,730,343,0,4,4.0
56,730,346,0,3,3.0
57,729,350,-1,4,4.123105625617661
58,729,354,0,4,4.0
59,729,358,0,4,4.0
60,729,361,0,3,3.0
61,729,365,0,4,4.0
62,729,368,0,3,3.0
63,729,372,0,4,4.0
64,729,376,0,4,4.0
65,729,380,0,4,4.0
66,728,383,-1,3,3.1622776601683795
67,728,387,0,4,4.0
68,728,390,0,3,3.0
69,728,394,0,4,4.0
70,728,398,0,4,4.0
71,728,401,0,3,3.0
72,727,405,-1,4,4.123105625617661
73,728,409,1,4,4.123105625617661
74,728,412,0,3,3.0
75,727,416,-1,4,4.123105625617661
76,727,420,0,4,4.0
77,727,423,0,3,3.0
78,727,427,0,4,4.0
79,727,431,0,4,4.0
80,727,434,0,3,3.0
81,727,438,0,4,4.0
82,726,441,-1,3,3.1622776601683795
83,726,445,0,4,4.0
84,726,449,0,4,4.0
85,726,452,0,3,3.0
86,726,456,0,4,4.0
87,726,460,0,4,4.0
88,725,463,-1,3,3.1622776601683795
89,725,467,0,4,4.0
90,725,470,0,3,3.0
91,725,474,0,4,4.0
92,724,478,-1,4,4.123105625617661
93,724,481,0,3,3.0
94,724,485,0,4,4.0
95,724,488,0,3,3.0
96,724,492,0,4,4.0
97,724,495,0,3,3.0
98,723,499,-1,4,4.123105625617661
99,724,503,1,4,4.123105625617661
100,724,506,0,3,3.0
101,724,509,0,3,3.0
102,723,513,-1,4,4.123105625617661
103,723,517,0,4,4.0
104,723,520,0,3,3.0
105,723,524,0,4,4.0
106,723,527,0,3,3.0
107,722,531,-1,4,4.123105625617661
108,722,535,0,4,4.0
109,723,538,1,3,3.1622776601683795
110,722,542,-1,4,4.123105625617661
111,722,545,0,3,3.0
112,722,549,0,4,4.0
113,721,563,-1,14,14.035668847618199
114,721,567,0,4,4.0
115,721,570,0,3,3.0
116,721,574,0,4,4.0
117,721,577,0,3,3.0
118,721,581,0,4,4.0
119,721,585,0,4,4.0
120,720,588,-1,3,3.1622776601683795
121,721,592,1,4,4.123105625617661
122,720,595,-1,3,3.1622776601683795
123,720,599,0,4,4.0
124,720,602,0,3,3.0
125,720,606,0,4,4.0
126,720,609,0,3,3.0
127,720,613,0,4,4.0
128,720,617,0,4,4.0
129,720,620,0,3,3.0
130,719,624,-1,4,4.123105625617661
131,719,627,0,3,3.0
132,719,631,0,4,4.0
133,719,635,0,4,4.0
134,719,638,0,3,3.0
135,719,641,0,3,3.0
136,719,645,0,4,4.0
137,719,649,0,4,4.0
138,719,652,0,3,3.0
139,719,656,0,4,4.0
140,719,660,0,4,4.0
141,719,663,0,3,3.0
142,719,667,0,4,4.0
143,719,670,0,3,3.0
144,719,674,0,4,4.0
145,719,677,0,3,3.0
146,719,681,0,4,4.0
147,719,684,0,3,3.0
148,718,688,-1,4,4.123105625617661
149,719,691,1,3,3.1622776601683795
150,719,695,0,4,4.0
151,719,699,0,4,4.0
152,719,703,0,4,4.0
153,719,706,0,3,3.0
154,720,710,1,4,4.123105625617661
155,719,713,-1,3,3.1622776601683795
156,720,717,1,4,4.123105625617661
157,719,720,-1,3,3.1622776601683795
158,719,724,0,4,4.0
159,720,728,1,4,4.123105625617661
160,719,731,-1,3,3.1622776601683795
161,720,734,1,3,3.1622776601683795
162,720,738,0,4,4.0
163,720,742,0,4,4.0
164,720,745,0,3,3.0
165,720,749,0,4,4.0
166,720,753,0,4,4.0
167,720,756,0,3,3.0
168,721,759,1,3,3.1622776601683795
169,721,763,0,4,4.0
170,721,766,0.04000000000000001,3.6,3.600222215363935
171,720,773,-1,7,7.0710678118654755
172,720,776,0,3,3.0
173,720,778,0,2,2.0
174,721,782,1,4,4.123105625617661
175,721,785,0,3,3.0
176,722,789,1,4,4.123105625617661
177,722,792,0,3,3.0
178,722,796,0,4,4.0
