Frame,X,Y,dX,dY,Magnitude
0,737,150,-1,1,1.4142135623730951
1,736,154,-1,4,4.123105625617661
2,735,158,-1,4,4.123105625617661
3,734,162,-1,4,4.123105625617661
4,733,167,-1,5,5.0990195135927845
5,735,172,2,5,5.385164807134504
6,733,175,-2,3,3.605551275463989
7,732,179,-1,4,4.123105625617661
8,731,184,-1,5,5.0990195135927845
9,732,190,1,6,6.082762530298219
10,731,193,-1,3,3.1622776601683795
11,731,198,0,5,5.0
12,730,202,-1,4,4.123105625617661
13,729,206,-1,4,4.123105625617661
14,729,210,0,4,4.0
15,728,215,-1,5,5.0990195135927845
16,727,219,-1,4,4.123105625617661
17,727,223,0,4,4.0
18,726,227,-1,4,4.123105625617661
19,725,231,-1,4,4.123105625617661
20,725,236,0,5,5.0
21,724,240,-1,4,4.123105625617661
22,723,244,-1,4,4.123105625617661
23,723,248,0,4,4.0
24,722,253,-1,5,5.0990195135927845
25,721,257,-1,4,4.123105625617661
26,721,260,0,3,3.0
27,720,265,-1,5,5.0990195135927845
28,719,269,-1,4,4.123105625617661
29,719,273,0,4,4.0
30,717,277,-2,4,4.47213595499958
31,717,281,0,4,4.0
32,716,285,-1,4,4.123105625617661
33,716,290,0,5,5.0
34,715,293,-1,3,3.1622776601683795
35,714,299,-1,6,6.082762530298219
36,714,303,0,4,4.0
37,713,306,-1,3,3.1622776601683795
38,713,310,0,4,4.0
39,712,315,-1,5,5.0990195135927845
40,711,319,-1,4,4.123105625617661
41,711,323,0,4,4.0
42,710,327,-1,4,4.123105625617661
43,709,331,-1,4,4.123105625617661
44,709,336,0,5,5.0
45,708,340,-1,4,4.123105625617661
46,708,344,0,4,4.0
47,707,348,-1,4,4.123105625617661
48,706,353,-1,5,5.0990195135927845
49,706,356,0,3,3.0
50,706,361,0,5,5.0
51,705,365,-1,4,4.123105625617661
52,704,369,-1,4,4.123105625617661
53,704,373,0,4,4.0
54,703,377,-1,4,4.123105625617661
55,702,382,-1,5,5.0990195135927845
56,702,386,0,4,4.0
57,701,390,-1,4,4.123105625617661
58,700,394,-1,4,4.123105625617661
59,700,399,0,5,5.0
60,699,403,-1,4,4.123105625617661
61,699,407,0,4,4.0
62,698,412,-1,5,5.0990195135927845
63,698,416,0,4,4.0
64,696,420,-2,4,4.47213595499958
65,696,423,0,3,3.0
66,696,428,0,5,5.0
67,695,432,-1,4,4.123105625617661
68,694,437,-1,5,5.0990195135927845
69,693,441,-1,4,4.123105625617661
70,693,445,0,4,4.0
71,692,449,-1,4,4.123105625617661
72,691,453,-1,4,4.123105625617661
73,691,458,0,5,5.0
74,690,462,-1,4,4.123105625617661
75,689,466,-1,4,4.123105625617661
76,688,470,-1,4,4.123105625617661
77,688,475,0,5,5.0
78,687,479,-1,4,4.123105625617661
79,687,483,0,4,4.0
80,686,487,-1,4,4.123105625617661
81,685,491,-1,4,4.123105625617661
82,686,496,1,5,5.0990195135927845
83,684,500,-2,4,4.47213595499958
84,683,504,-1,4,4.123105625617661
85,683,508,0,4,4.0
86,682,512,-1,4,4.123105625617661
87,682,516,0,4,4.0
88,681,521,-1,5,5.0990195135927845
89,681,525,0,4,4.0
90,680,529,-1,4,4.123105625617661
91,679,533,-1,4,4.123105625617661
92,679,537,0,4,4.0
93,678,542,-1,5,5.0990195135927845
94,677,546,-1,4,4.123105625617661
95,677,551,0,5,5.0
96,677,555,0,4,4.0
97,675,558,-2,3,3.605551275463989
98,675,562,0,4,4.0
99,675,566,0,4,4.0
100,674,571,-1,5,5.0990195135927845
101,673,576,-1,5,5.0990195135927845
102,673,579,0,3,3.0
103,672,583,-1,4,4.123105625617661
104,671,588,-1,5,5.0990195135927845
105,671,591,0,3,3.0
106,670,596,-1,5,5.0990195135927845
107,670,599,0,3,3.0
108,669,603,-1,4,4.123105625617661
109,668,608,-1,5,5.0990195135927845
110,667,612,-1,4,4.123105625617661
111,667,616,0,4,4.0
112,667,620,0,4,4.0
113,666,625,-1,5,5.0990195135927845
114,665,628,-1,3,3.1622776601683795
115,664,632,-1,4,4.123105625617661
116,664,637,0,5,5.0
117,663,641,-1,4,4.123105625617661
118,663,645,0,4,4.0
119,662,649,-1,4,4.123105625617661
120,661,653,-1,4,4.123105625617661
121,661,657,0,4,4.0
122,661,661,0,4,4.0
123,659,665,-2,4,4.47213595499958
124,659,670,0,5,5.0
125,658,674,-1,4,4.123105625617661
126,658,678,0,4,4.0
127,658,682,0,4,4.0
128,657,686,-1,4,4.123105625617661
129,656,690,-1,4,4.123105625617661
130,656,694,0,4,4.0
131,655,698,-1,4,4.123105625617661
132,655,702,0,4,4.0
133,654,707,-1,5,5.0990195135927845
134,654,711,0,4,4.0
135,653,715,-1,4,4.123105625617661
136,653,719,0,4,4.0
137,653,724,0,5,5.0
138,653,728,0,4,4.0
139,652,732,-1,4,4.123105625617661
140,652,736,0,4,4.0
141,651,740,-1,4,4.123105625617661
142,650,745,-1,5,5.0990195135927845
143,650,748,0,3,3.0
144,650,753,0,5,5.0
145,649,757,-1,4,4.123105625617661
146,649,761,0,4,4.0
147,648,767,-1,6,6.082762530298219
148,647,774,-1,7,7.0710678118654755
149,647,777,0,3,3.0
150,647,780,0,3,3.0
151,647,784,0,4,4.0
152,647,788,0,4,4.0
153,646,792,-1,4,4.123105625617661
154,645,795,-1,3,3.1622776601683795
155,645,800,0,5,5.0
156,645,803,0,3,3.0
157,644,808,-1,5,5.0990195135927845
158,644,812,0,4,4.0
159,644,816,0,4,4.0
160,642,816,-2,0,2.0
161,643,825,1,9,9.055385138137417
162,643,828,0,3,3.0
163,643,831,0,3,3.0
164,642,836,-1,5,5.0990195135927845
165,642,840,0,4,4.0
166,641,843,-1,3,3.1622776601683795
167,641,848,0,5,5.0
