Frame,X,Y,dX,dY,Magnitude
0,481,146,-1,0,1.0
1,480,149,-1,3,3.1622776601683795
2,480,155,0,6,6.0
3,480,159,0,4,4.0
4,480,164,0,5,5.0
5,480,169,0,5,5.0
6,480,174,0,5,5.0
7,480,179,0.0,5.0,5.0
8,480,183,0.0,4.8,4.8
9,480,187,0.0,4.96,4.96
10,480,191,0.0,4.952,4.952
11,483,194,3,3,4.242640687119285
12,485,199,2,5,5.385164807134504
13,485,205,0,6,6.0
14,488,211,3,6,6.708203932499369
15,489,217,1,6,6.082762530298219
16,485,218,-4,1,4.123105625617661
17,484,224,-1,6,6.082762530298219
18,482,228,-2,4,4.47213595499958
19,483,233,1,5,5.0990195135927845
20,482,237,-1,4,4.123105625617661
21,481,244,-1,7,7.0710678118654755
22,485,250,4,6,7.211102550927978
23,482,255,-3,5,5.830951894845301
24,480,258,-2,3,3.605551275463989
25,480,263,0,5,5.0
26,480,268,0,5,5.0
27,480,272,0,4,4.0
28,481,277,1,5,5.0990195135927845
29,480,281,-0.04000000000000001,4.4,4.4001818144254
30,480,288,0,7,7.0
31,480,293,0.038400000000000004,5.08,5.080145131785114
32,480,298,0.039936,5.095999999999999,5.096156481515848
33,483,303,3,5,5.830951894845301
34,483,305,0,2,2.0
35,485,311,2,6,6.324555320336759
36,485,316,0,5,5.0
37,487,320,2,4,4.47213595499958
38,487,325,0,5,5.0
39,487,329,0,4,4.0
40,486,334,-1,5,5.0990195135927845
41,485,337,-1,3,3.1622776601683795
42,484,342,-1,5,5.0990195135927845
43,483,346,-1,4,4.123105625617661
44,481,351,-2,5,5.385164807134504
45,482,357,1,6,6.082762530298219
46,482,363,0,6,6.0
47,482,368,0,5,5.0
48,482,372,0,4,4.0
49,480,374,-2,2,2.8284271247461903
50,480,379,0,5,5.0
51,480,386,0,7,7.0
52,481,391,1,5,5.0990195135927845
53,480,396,-1,5,5.0990195135927845
54,479,400,-0.08000000000000002,4.8,4.800666620376799
55,481,404,2,4,4.47213595499958
56,481,409,0.07680000000000001,5.16,5.160571503234889
57,481,413,0.079872,4.792,4.79266559822235
58,485,420,4,7,8.06225774829855
59,485,424,0,4,4.0
60,485,427,0,3,3.0
61,487,432,2,5,5.385164807134504
62,489,437,2,5,5.385164807134504
63,488,441,-1,4,4.123105625617661
64,487,446,-1,5,5.0990195135927845
65,493,454,6,8,10.0
66,493,458,0,4,4.0
67,482,458,-11,0,11.0
68,481,462,-0.27999999999999997,4.2,4.209322985944414
69,482,468,1,6,6.082762530298219
70,481,472,-0.17120000000000002,4.4399999999999995,4.443299386717037
71,480,475,-0.41804800000000003,3.728,3.751366168518344
72,480,481,0,6,6.0
73,480,485,0,4,4.0
74,481,491,1,6,6.082762530298219
75,481,496,0,5,5.0
76,481,500,0.023278080000000003,4.945600000000001,4.945654782635813
77,481,505,0.0409311232,5.18912,5.189281427254299
78,481,510,0.04256836812800001,5.026943999999999,5.027124232113334
79,481,516,0,6,6.0
80,481,521,0.004271102853120001,5.2323328,5.232334543229764
81,481,526,0.004441946967244801,5.278799360000001,5.278801228880405
82,484,529,3,3,4.242640687119285
83,486,534,2,5,5.385164807134504
84,487,539,1,5,5.0990195135927845
85,487,542,0,3,3.0
86,487,546,0,4,4.0
87,487,552,0,6,6.0
88,486,556,-1,4,4.123105625617661
89,487,559,1,3,3.1622776601683795
90,485,565,-2,6,6.324555320336759
91,492,574,7,9,11.40175425099138
92,492,579,0.2,5.6,5.60357029044876
93,482,580,-10,1,10.04987562112089
94,481,584,-1,4,4.123105625617661
95,484,589,3,5,5.830951894845301
96,483,593,-1,4,4.123105625617661
97,484,597,1,4,4.123105625617661
98,483,602,-1,5,5.0990195135927845
99,483,606,0.04000000000000001,4.4,4.4001818144254
100,483,610,0.0816,4.4799999999999995,4.480743081231058
101,482,614,-0.035136,4.3759999999999994,4.376141055598642
102,482,618,0.003458560000000001,4.4512,4.451201343641655
103,481,622,-0.036403097599999996,4.54144,4.5415858969213465
104,485,631,4,9,9.848857801796104
105,485,636,0,5,5.0
106,487,640,2,4,4.47213595499958
107,488,644,1,4,4.123105625617661
108,488,650,0,6,6.0
109,489,654,1,4,4.123105625617661
110,487,658,-2,4,4.47213595499958
111,487,662,0.08000000000000002,4.4,4.400727212632022
112,494,674,7,12,13.892443989449804
113,494,678,0,4,4.0
114,494,683,0.2432,5.68,5.685204151127732
115,494,689,0.212928,6.016,6.019766966684341
116,494,695,0.30144512,6.419199999999999,6.426274021575162
117,494,701,0.3103029248,6.823039999999999,6.830092440570582
118,494,706,0.042715041792,5.787647999999999,5.787805624474554
119,494,712,0.044423643463679996,6.145177599999999,6.145338167720337
120,494,718,0.0364725892022272,6.238213119999999,6.23831974014664
121,494,724,0.02941437277031629,6.282655744,6.2827246002782635
122,485,720,-9,-4,9.848857801796104
123,485,723,0,3,3.0
124,484,728,-1,5,5.0990195135927845
125,483,731,-0.3973645215210983,3.3041737728,3.3279818034092488
126,482,733,-0.4147180059500313,2.71736590336,2.7488303834908914
127,489,743,7,10,12.206555615733702
128,489,745,0,2,2.0
129,490,750,1,5,5.0990195135927845
130,491,754,1,4,4.123105625617661
131,492,758,1,4,4.123105625617661
132,495,764,3,6,6.708203932499369
133,495,768,0.24,4.2,4.206851554309945
134,495,772,0.24960000000000002,4.64,4.646708529701427
135,495,776,0.219584,4.568,4.573274661886819
136,495,780,0.18836736000000004,4.6816,4.68538801192744
137,495,784,0.15590205440000005,4.81792,4.8204417408538545
138,495,788,0.042138136576000004,4.581504000000001,4.58169777752419
