Frame,X,Y,dX,dY,Magnitude
0,483,202,0,-1,1.0
1,482,205,-1,3,3.1622776601683795
2,483,207,1,2,2.23606797749979
3,484,210,1,3,3.1622776601683795
4,483,213,-1,3,3.1622776601683795
5,483,215,0.0,2.0,2.0
6,483,217,0.0,2.6,2.6
7,483,222,0,5,5.0
8,483,225,0.0,3.12,3.12
9,482,228,-0.04000000000000001,3.1439999999999997,3.1442544426302397
10,481,231,-0.0016000000000000005,3.1727999999999996,3.1728004034291217
11,480,234,-0.0016640000000000003,3.4073599999999997,3.4073604063110197
12,479,237,-0.0017305600000000001,3.5688320000000004,3.568832419582337
13,478,238,-1,1,1.4142135623730951
14,476,239,-2,1,2.23606797749979
15,476,240,0,1,1.0
16,475,243,-0.1201357824,3,3.0024044707888478
17,476,246,1,3,3.1622776601683795
18,475,248,-1,2,2.23606797749979
19,475,251,0,3,3.0
20,475,254,0,3,3.0
21,476,256,1,2,2.23606797749979
22,477,258,1,2,2.23606797749979
23,476,261,-1,3,3.1622776601683795
24,476,264,0,3,3.0
25,476,266,0.04000000000000001,2.6,2.600307674103201
26,476,268,0.041600000000000005,2.52,2.5203433416897787
27,476,270,0.0032640000000000004,2.6239999999999997,2.6240020300479947
28,481,273,5,3,5.830951894845301
29,481,275,0,2,2.0
30,481,279,0,4,4.0
31,483,283,2,4,4.47213595499958
32,482,286,-1,3,3.1622776601683795
33,482,289,0.24,3.2,3.2089873792210533
34,482,292,0.049600000000000005,3.2399999999999998,3.240379632080167
35,482,295,0.05158400000000001,3.4879999999999995,3.488381416797194
36,482,298,0.05364736000000001,3.3855999999999993,3.3860250145613167
37,481,301,-0.024206745600000003,3.2627199999999994,3.262809796009038
38,481,304,0.014824984576,3.315263999999999,3.315297146541117
39,481,307,0.0058179839590400025,3.3383168,3.3383218697572565
40,474,325,-7,18,19.313207915827967
41,473,331,-0.27799665668259843,6.2603801599999995,6.266549440389689
42,472,337,-0.2912624173499023,6.835336192,6.841538909735555
43,471,344,-0.3019446442198985,7.5498594304,7.5558949163532505
44,470,352,-0.3146154293717344,8.39677851648,8.402670547106963
45,469,361,-0.3274327659049653,9.408470859776,9.414166778607775
46,468,368,-0.06053007654116396,7.6901650317312,7.690403247257416
47,467,375,-0.05183141333550659,7.976122006077439,7.976290412920103
48,466,383,-0.042254173174930756,8.204279168892928,8.204387978166386
49,465,391,-0.031866554333132034,8.335163116591513,8.33522403163062
50,464,399,-0.020556599331587943,8.322840036613817,8.3228654229681
51,463,407,-0.008281552668652851,8.105713871981381,8.105718102583262
52,462,415,-0.006191611713752407,8.188823640031416,8.188825980785827
53,461,423,-0.00436601964888224,8.231363966822212,8.231365124718176
54,460,431,-0.002850493507840299,8.236780926408068,8.236781419641595
55,459,439,-0.0016898510748286294,8.217104488371378,8.217104662130676
56,458,447,-0.000935181144558257,8.195957378722891,8.195957432076254
57,457,455,-0.0006413262835944733,8.214006080071192,8.21400610510766
58,456,463,-0.00041931486638815594,8.219042568079148,8.219042578775342
59,455,471,-0.00026144667508839266,8.216578288330535,8.216578292490075
60,454,479,-0.00015788480177831633,8.212537760715028,8.212537762232683
61,453,487,-9.66061508563038e-05,8.21162441518376,8.211624415752024
62,452,495,-6.306315110822568e-05,8.214757822475931,8.214757822717994
63,451,503,-3.993262580877578e-05,8.21490817095688,8.214908171053937
64,450,511,-2.4757336185600575e-05,8.214081291532427,8.214081291569736
65,449,519,-1.528976262948889e-05,8.213581892172806,8.213581892187038
66,448,527,-9.585961063535792e-06,8.21379071846436,8.213790718469953
67,447,535,-6.1051534718250684e-06,8.214223979120481,8.21422397912275
68,446,543,-3.826833566369045e-06,8.214117210449391,8.214117210450283
69,445,551,-2.382601876672775e-06,8.213959018347893,8.213959018348238
70,444,559,-1.4876125043156631e-06,8.213934563710987,8.213934563711122
71,443,567,-9.355264993087338e-07,8.214005098018621,8.214005098018674
72,442,575,-5.895091167396515e-07,8.214047973929473,8.214047973929494
73,441,583,-3.688833425362347e-07,8.214012772891273,8.214012772891282
74,440,591,-2.3056533358292235e-07,8.213991885379649,8.213991885379652
75,439,599,-1.4448387185932826e-07,8.213998458786001,8.213998458786003
76,438,607,-9.075872656107482e-08,8.214011237801003,8.214011237801003
77,437,615,-5.696801565116846e-08,8.214012465757481,8.214012465757481
78,436,623,-3.566637160762915e-08,8.214005364123082,8.214005364123082
79,435,631,-2.233769277048492e-08,8.214003882369443,8.214003882369443
80,434,639,-1.4008587137987425e-08,8.214006281767402,8.214006281767402
81,433,647,-8.789575749133792e-09,8.214007846363682,8.214007846363682
82,432,655,-5.51080971665615e-09,8.214007168076218,8.214007168076218
83,431,663,-3.4525214792756573e-09,8.214006108539966,8.214006108539966
84,430,671,-2.163967474141518e-09,8.21400625742334,8.21400625742334
85,429,679,-1.3570184622877821e-09,8.214006732434122,8.214006732434122
86,428,687,-8.50955715259796e-10,8.214006822567466,8.214006822567466
87,427,695,-5.334109139048362e-10,8.214006617808224,8.214006617808224
88,426,703,-3.343149617947836e-10,8.214006507754624,8.214006507754624
89,425,711,-2.0958670109554861e-10,8.214006587597556,8.214006587597556
90,424,719,-1.3141147017370986e-10,8.2140066536324,8.2140066536324
91,423,727,-8.238719048914697e-11,8.214006637872052,8.214006637872052
