Frame,X,Y,dX,dY,Magnitude
0,440,157,1,0,1.0
1,440,161,0,4,4.0
2,440,166,0,5,5.0
3,440,171,0,5,5.0
4,439,174,-1,3,3.1622776601683795
5,438,179,-1,5,5.0990195135927845
6,436,184,-2,5,5.385164807134504
7,435,189,-1,5,5.0990195135927845
8,434,193,-0.2,4.6,4.604345773288535
9,433,197,-0.20800000000000002,4.5200000000000005,4.524783309728766
10,432,201,-1,4,4.123105625617661
11,441,208,9,7,11.40175425099138
12,444,212,3,4,5.0
13,443,217,-1,5,5.0990195135927845
14,443,221,0,4,4.0
15,444,226,1,5,5.0990195135927845
16,444,230,0,4,4.0
17,445,234,1,4,4.123105625617661
18,444,239,-1,5,5.0990195135927845
19,444,243,0.04000000000000001,4.4,4.4001818144254
20,444,247,0.041600000000000005,4.4799999999999995,4.4801931386939104
21,444,251,0.0032640000000000004,4.3759999999999994,4.37600121728685
22,444,255,0.003394560000000001,4.4512,4.451201294374092
23,443,259,-0.0364696576,4.54144,4.541586430920968
24,439,262,-4,3,5.0
25,439,267,0,5,5.0
26,440,272,1,5,5.0990195135927845
27,440,276,0,4,4.0
28,439,279,-1,3,3.1622776601683795
29,438,284,-1,5,5.0990195135927845
30,437,290,-1,6,6.082762530298219
31,435,295,-2,5,5.385164807134504
32,434,299,-0.2,4.6,4.604345773288535
33,433,303,-0.20800000000000002,4.720000000000001,4.724580827967705
34,432,308,-0.17632000000000003,5.064,5.0670686538076435
35,431,313,-0.14337280000000002,5.0768,5.078824076474774
36,433,313,2,0,2.0
37,433,316,0.050892288,3.8921599999999996,3.8924927091232777
38,441,328,8,12,14.422205101855956
39,434,329,-7,1,7.0710678118654755
40,434,332,0,3,3.0
41,433,337,-1,5,5.0990195135927845
42,445,344,12,7,13.892443989449804
43,445,349,0,5,5.0
44,437,353,-8,4,8.94427190999916
45,435,356,-2,3,3.605551275463989
46,435,360,0.04000000000000001,4.8,4.800166663773249
47,435,364,0.0816,4.76,4.760699377192389
48,437,370,2,6,6.324555320336759
49,438,370,1,0,1.0
50,440,376,2,6,6.324555320336759
51,440,380,0,4,4.0
52,440,384,0,4,4.0
53,439,389,-1,5,5.0990195135927845
54,438,393,-1,4,4.123105625617661
55,438,397,0,4,4.0
56,437,401,-0.08000000000000002,4.2,4.20076183566743
57,436,405,-0.08320000000000001,4.24,4.240816223323053
58,435,409,-0.08652800000000001,4.287999999999999,4.288872939920696
59,434,413,-0.04998912,4.1456,4.145901382343576
60,433,423,-1,10,10.04987562112089
61,433,424,0,1,1.0
62,442,433,9,9,12.727922061357855
63,440,436,-2,3,3.605551275463989
64,443,441,3,5,5.830951894845301
65,443,446,0,5,5.0
66,442,450,-1,4,4.123105625617661
67,443,454,1,4,4.123105625617661
68,444,458,1,4,4.123105625617661
69,444,462,0.16000000000000003,4.4,4.402908129861444
70,444,466,0.04640000000000001,4.279999999999999,4.280251506629019
71,444,470,0.04825600000000001,4.136,4.13628149931022
72,444,474,0.09018624000000001,4.1632,4.164176725102495
73,444,478,0.05379368960000001,4.19584,4.19618482274563
74,440,480,-4,2,4.47213595499958
75,440,484,0,4,4.0
76,439,489,-1,5,5.0990195135927845
77,439,493,0,4,4.0
78,438,497,-1,4,4.123105625617661
